AccountID,ClientID,AccountType,Balance,OpenDate
58,4826,Brokerage,194027.7,2025-01-10
59,2675,Savings,210511.14,2021-04-26
60,119,Savings,8459.41,2024-02-24
61,9246,Savings,368911.56,2023-09-03
62,3777,Brokerage,58794.43,2025-02-28
63,4415,Retirement,40685.26,2024-10-09
64,9500,Brokerage,219387.16,2023-01-13
65,5462,Savings,193375.01,2021-04-08
66,9850,Savings,62618.14,2021-08-15
67,925,Brokerage,67034.68,2020-10-19
68,8134,Retirement,95034.4,2021-04-28
69,7883,Retirement,151039.95,2022-01-17
70,6090,Retirement,75826.82,2023-03-27
71,244,Retirement,87037.43,2022-03-18
72,4395,Savings,41917.91,2023-03-09
73,3329,Retirement,167658.4,2022-03-18
74,1603,Savings,61881.74,2023-01-12
75,6481,Retirement,33386.83,2025-04-19
76,3754,Brokerage,238216.88,2020-12-02
77,3804,Savings,197395.05,2025-04-02
78,6940,Retirement,234093.54,2024-12-29
79,2477,Savings,425788.75,2024-11-02
80,6532,Retirement,188463.04,2021-04-10
81,2325,Savings,7829.44,2025-02-05
82,6976,Brokerage,221527.28,2024-01-05
83,3745,Brokerage,-2722.72,2021-07-06
84,9718,Brokerage,328221.61,2022-12-13
85,8734,Retirement,154279.55,2023-07-11
86,2252,Retirement,25847.63,2021-10-29
87,2724,Savings,48476.83,2020-10-24
88,5798,Savings,111287.21,2021-03-11
89,5438,Retirement,16.21,2023-05-25
90,1542,Retirement,100991.28,2021-08-15
91,2287,Brokerage,288852.78,2022-01-03
92,1722,Retirement,115070.21,2021-02-01
93,809,Savings,424932.96,2022-12-12
94,7949,Savings,227802.72,2023-12-04
95,2289,Retirement,230399.57,2024-08-19
96,2079,Retirement,344674.19,2023-11-27
97,4118,Brokerage,72429.34,2021-11-14
98,1531,Savings,270354.38,2022-03-05
99,4168,Savings,397936.98,2020-08-12
100,5265,Savings,465544.29,2021-08-22
101,1794,Savings,86068.0,2020-12-21
102,122,Retirement,384688.69,2023-05-29
103,7916,Retirement,15930.91,2023-03-15
104,8073,Savings,188012.93,2021-01-02
105,9414,Brokerage,480629.42,2024-02-20
106,3842,Brokerage,292400.41,2020-10-06
107,9146,Retirement,173916.53,2023-05-14
108,5865,Savings,471091.79,2024-01-08
109,2719,Retirement,230971.32,2024-09-21
110,8895,Savings,141367.24,2025-05-15
111,7100,Retirement,23951.68,2024-01-08
112,8516,Retirement,316452.61,2025-02-04
113,5887,Savings,261282.31,2020-09-14
114,3148,Savings,268450.36,2020-09-07
115,5254,Savings,215807.77,2024-05-13
116,7829,Brokerage,199288.05,2023-02-01
117,2817,Brokerage,368526.32,2022-07-03
118,4361,Retirement,238538.79,2021-01-28
119,9577,Brokerage,178018.36,2020-12-20
120,3551,Savings,436822.43,2021-12-30
121,6116,Brokerage,391796.48,2021-01-19
122,6420,Brokerage,275501.82,2023-06-23
123,2829,Brokerage,434136.07,2022-06-10
124,142,Brokerage,264308.24,2020-10-21
125,5779,Savings,396886.28,2020-11-07
126,6648,Brokerage,377251.14,2023-01-14
127,4914,Retirement,81912.18,2020-12-02
128,6737,Brokerage,292436.11,2020-10-04
129,4128,Brokerage,321290.14,2022-07-27
130,1486,Brokerage,395424.06,2023-04-01
131,4026,Retirement,39030.7,2021-07-02
132,9335,Savings,83376.57,2021-05-24
133,188,Brokerage,300769.69,2024-10-28
134,6841,Retirement,80971.67,2021-11-10
135,7265,Brokerage,62861.33,2024-11-17
136,6530,Brokerage,127449.48,2020-10-19
137,5615,Brokerage,481250.89,2023-04-15
138,5920,Retirement,93073.68,2023-04-23
139,1094,Retirement,417156.7,2025-02-05
140,645,Brokerage,357174.11,2023-08-04
141,1227,Brokerage,367348.54,2023-11-14
142,1383,Savings,105901.04,2024-09-16
143,6075,Brokerage,267065.37,2024-10-08
144,2911,Brokerage,75962.66,2022-04-20
145,7597,Brokerage,38855.97,2020-12-22
146,9698,Brokerage,188072.36,2024-12-01
147,95,Savings,18622.34,2023-05-05
148,349,Savings,67500.91,2022-12-19
149,7961,Savings,13822.29,2020-10-13
150,6554,Retirement,197117.8,2020-11-28
151,6849,Brokerage,234370.82,2023-11-17
152,7143,Brokerage,192415.77,2025-07-15
153,3579,Savings,260489.4,2021-08-20
154,5800,Brokerage,2436.31,2023-07-08
155,5335,Brokerage,228829.56,2021-04-18
156,3275,Retirement,208947.92,2021-10-27
157,7286,Retirement,327812.57,2021-11-27
158,3653,Savings,51218.7,2022-08-07
159,3248,Retirement,52906.43,2022-01-12
160,4244,Retirement,354838.4,2024-10-17
161,7132,Retirement,64294.53,2021-07-29
162,3278,Savings,45066.6,2024-10-07
163,5718,Retirement,449463.74,2023-01-21
164,4714,Brokerage,457273.56,2021-06-15
165,3222,Retirement,85231.94,2025-04-03
166,7699,Savings,446853.64,2022-02-06
167,8575,Retirement,235687.44,2023-06-07
168,6885,Brokerage,208104.87,2021-07-17
169,3415,Retirement,300224.61,2023-05-30
170,2951,Savings,487212.41,2024-06-26
171,4546,Retirement,403470.26,2024-02-18
172,7756,Retirement,428465.74,2025-07-04
173,1640,Savings,272991.9,2023-07-24
174,324,Brokerage,417126.19,2020-09-11
175,8101,Savings,305825.37,2023-03-13
176,3094,Brokerage,146388.77,2023-03-11
177,2995,Brokerage,440513.43,2024-07-15
178,4703,Savings,105692.3,2023-01-02
179,5041,Retirement,384605.29,2022-09-24
180,1275,Retirement,79950.22,2023-04-02
181,4402,Retirement,211342.32,2023-12-21
182,5493,Brokerage,247996.5,2020-12-24
183,6369,Savings,124041.85,2025-07-23
184,9344,Brokerage,78581.44,2023-03-11
185,4808,Savings,181710.18,2021-08-07
186,3693,Retirement,420243.68,2025-01-02
187,2242,Retirement,277503.01,2025-06-17
188,680,Retirement,342548.28,2023-05-05
189,2834,Brokerage,255437.44,2025-06-16
190,4362,Brokerage,324682.66,2021-06-18
191,53,Savings,166146.29,2025-04-14
192,8207,Retirement,311039.83,2023-07-07
193,5128,Retirement,369668.85,2025-04-01
194,4390,Brokerage,41141.98,2022-09-20
195,4564,Brokerage,157249.98,2023-10-14
196,9667,Savings,3081.74,2022-08-03
197,533,Savings,389411.33,2025-04-27
198,7815,Savings,34214.55,2023-06-05
199,7002,Brokerage,148885.98,2023-06-14
200,6727,Savings,42400.94,2023-08-15
201,3640,Retirement,250120.36,2023-01-07
202,8562,Retirement,134282.72,2024-11-18
203,7489,Brokerage,195070.54,2020-07-31
204,6147,Brokerage,268827.26,2025-07-04
205,7396,Savings,481324.53,2023-01-09
206,5758,Retirement,124485.64,2024-05-14
207,6785,Retirement,61343.67,2021-09-20
208,6353,Brokerage,199086.74,2023-11-30
209,1101,Retirement,327856.39,2021-01-03
210,1428,Savings,183247.34,2024-06-27
211,8480,Savings,302509.03,2022-06-07
212,550,Brokerage,70322.12,2023-03-19
213,7789,Savings,79303.27,2020-11-25
214,1803,Brokerage,387420.84,2024-03-25
215,5048,Retirement,15709.9,2022-06-19
216,7446,Savings,419835.11,2024-08-30
217,9210,Retirement,5319.1,2023-01-30
218,3870,Retirement,203008.21,2021-09-09
219,7019,Brokerage,165417.77,2020-08-16
220,599,Brokerage,351473.39,2021-06-22
221,7278,Retirement,456997.65,2021-12-19
222,9702,Savings,119051.8,2024-07-29
223,444,Retirement,238938.73,2023-07-09
224,7210,Savings,101550.12,2024-05-29
225,6629,Retirement,348925.74,2025-04-02
226,1971,Savings,466173.06,2021-06-15
227,2999,Savings,87622.06,2021-03-09
228,6723,Retirement,455168.4,2021-06-25
229,4608,Brokerage,305225.72,2025-04-08
230,8387,Retirement,251583.05,2024-11-13
231,8308,Retirement,161193.9,2023-11-02
232,8232,Retirement,336507.65,2021-09-30
233,765,Retirement,232717.74,2020-11-06
234,3363,Savings,204428.57,2023-06-13
235,4992,Savings,405669.27,2020-09-04
236,8439,Savings,307048.26,2023-03-08
237,8253,Retirement,493642.77,2022-07-07
238,395,Savings,421136.48,2020-08-16
239,5287,Brokerage,421140.46,2021-01-12
240,4960,Savings,64715.43,2020-10-14
241,1933,Savings,224982.69,2024-05-18
242,4299,Savings,427506.04,2021-08-21
243,6924,Savings,381245.38,2024-10-24
244,8931,Retirement,339810.96,2025-04-08
245,7255,Brokerage,200603.16,2021-10-26
246,3375,Brokerage,418662.63,2025-05-09
247,1143,Retirement,380318.04,2025-05-31
248,9468,Savings,447638.34,2022-11-02
249,243,Retirement,91787.22,2022-03-04
250,9507,Savings,84542.23,2023-12-05
251,8339,Savings,35446.52,2024-06-19
252,9284,Savings,464896.81,2022-05-17
253,8037,Brokerage,278735.4,2023-04-08
254,6860,Savings,158043.37,2024-05-21
255,3344,Brokerage,229143.53,2021-02-10
256,7497,Savings,456782.16,2024-08-29
257,100,Savings,208558.76,2024-07-13
258,5046,Savings,127519.33,2023-07-17
259,6640,Savings,142428.05,2021-12-23
260,495,Brokerage,357571.47,2024-02-14
261,9689,Savings,341916.44,2025-03-31
262,3841,Brokerage,335658.76,2025-06-25
263,3890,Retirement,147755.88,2022-02-17
264,9856,Savings,4735.23,2025-03-09
265,4625,Retirement,386419.15,2021-04-10
266,6858,Retirement,8525.95,2023-12-23
267,6233,Savings,85714.27,2022-10-09
268,5571,Savings,216790.55,2023-10-14
269,33,Retirement,125524.09,2022-02-17
270,9950,Savings,77015.07,2024-08-11
271,4450,Brokerage,278512.65,2023-12-10
272,8399,Savings,386765.76,2021-10-28
273,4020,Brokerage,347174.24,2023-03-19
274,1235,Retirement,360962.99,2024-08-04
275,1830,Retirement,233095.37,2023-10-15
276,92,Retirement,315178.93,2023-11-25
277,4442,Savings,107005.97,2022-12-06
278,1867,Retirement,440929.24,2020-12-26
279,8646,Savings,431167.21,2024-06-09
280,849,Brokerage,186704.9,2024-10-15
281,4139,Savings,460109.08,2023-12-02
282,2326,Savings,253056.12,2023-02-23
283,5384,Brokerage,95855.14,2022-03-08
284,7353,Brokerage,52791.01,2024-03-15
285,892,Savings,488549.9,2024-09-26
286,6755,Savings,145663.62,2023-12-30
287,7312,Brokerage,97811.48,2021-03-07
288,8408,Savings,267407.72,2020-10-02
289,8481,Savings,448618.37,2024-09-12
290,1075,Retirement,75463.68,2025-06-19
291,2462,Savings,78630.22,2021-10-15
292,6794,Savings,82795.89,2023-04-22
293,4850,Retirement,420435.89,2021-12-30
294,5346,Brokerage,328559.25,2021-10-22
295,316,Retirement,69389.11,2021-09-17
296,8318,Savings,287624.08,2022-12-26
297,5553,Savings,87844.61,2021-09-03
298,7651,Savings,134183.09,2023-10-21
299,1234,Retirement,267617.63,2022-06-30
300,6931,Savings,341138.6,2020-11-20
301,9828,Retirement,428582.68,2023-11-27
302,2810,Retirement,200102.98,2022-10-13
303,2170,Brokerage,276522.0,2024-01-02
304,8690,Brokerage,419539.32,2021-06-05
305,3934,Savings,55623.68,2022-08-21
306,931,Savings,377492.04,2022-04-06
307,2871,Retirement,93282.26,2023-08-13
308,4335,Retirement,131008.37,2021-10-12
309,5343,Savings,187650.02,2023-01-11
310,3013,Savings,122806.29,2024-04-16
311,8552,Savings,409766.73,2023-01-06
312,7939,Brokerage,36017.61,2023-08-01
313,180,Savings,371921.23,2021-12-17
314,2337,Retirement,76964.68,2021-08-31
315,6127,Brokerage,200950.04,2023-04-28
316,305,Savings,40462.51,2024-08-04
317,2560,Brokerage,226557.32,2024-07-11
318,4074,Brokerage,87233.0,2024-03-27
319,4363,Savings,222931.34,2023-01-17
320,964,Brokerage,303072.66,2025-07-22
321,7355,Brokerage,61588.88,2024-12-03
322,4812,Brokerage,184593.48,2024-12-04
323,2179,Savings,150711.04,2022-08-26
324,5767,Retirement,107264.48,2023-04-23
325,6962,Retirement,248122.24,2023-05-05
326,1297,Savings,264058.18,2023-01-02
327,7203,Retirement,388336.65,2024-05-28
328,4562,Savings,3215.51,2022-10-16
329,3983,Retirement,412669.87,2025-07-06
330,4457,Savings,271126.1,2022-02-09
331,1948,Retirement,436510.54,2025-04-24
332,9339,Retirement,499029.18,2022-10-13
333,4076,Savings,181566.53,2022-08-14
334,6555,Retirement,71896.43,2022-05-06
335,3238,Brokerage,111564.65,2022-06-27
336,630,Retirement,198632.24,2025-05-19
337,7596,Savings,386608.73,2020-11-04
338,8667,Retirement,138270.42,2024-11-27
339,1208,Brokerage,183280.77,2025-06-26
340,5086,Savings,407381.28,2024-07-28
341,2854,Brokerage,372989.83,2023-08-21
342,4204,Brokerage,300440.26,2022-09-30
343,6340,Brokerage,78721.71,2020-07-29
344,6730,Savings,308040.71,2023-06-11
345,182,Retirement,205561.21,2021-01-05
346,1191,Retirement,474057.0,2022-08-29
347,9326,Savings,201131.62,2022-04-13
348,3099,Retirement,185362.45,2023-11-22
349,9667,Savings,326938.66,2020-11-24
350,2529,Savings,456980.64,2022-06-19
351,9883,Savings,271821.61,2024-08-04
352,3529,Retirement,374505.3,2024-10-02
353,7823,Retirement,275768.84,2023-04-19
354,7603,Savings,245193.27,2022-03-01
355,3069,Retirement,457764.09,2020-08-26
356,7108,Brokerage,147059.48,2021-02-15
357,4048,Retirement,260221.89,2021-10-03
358,801,Savings,473501.19,2022-11-01
359,4121,Savings,405614.73,2023-09-18
360,1568,Retirement,96071.74,2023-01-26
361,8649,Savings,90747.69,2020-08-28
362,9823,Brokerage,73152.74,2023-12-11
363,2066,Retirement,-29.02,2022-02-17
364,73,Brokerage,141244.4,2023-02-11
365,814,Savings,489338.81,2025-02-14
366,7642,Retirement,69131.02,2023-09-06
367,1104,Retirement,369301.57,2025-05-06
368,3717,Brokerage,434711.17,2022-03-30
369,9241,Brokerage,104952.21,2024-05-03
370,1937,Brokerage,98083.25,2022-12-01
371,9420,Retirement,157305.57,2021-01-14
372,8906,Retirement,61859.61,2023-06-06
373,9691,Savings,267773.83,2024-07-12
374,5362,Savings,188790.94,2021-05-29
375,2618,Savings,391881.68,2023-11-04
376,2219,Retirement,453838.31,2024-06-08
377,5399,Savings,484658.6,2024-08-02
378,2480,Brokerage,256888.05,2020-07-29
379,3827,Retirement,414983.67,2021-05-23
380,508,Savings,465906.47,2024-01-10
381,6990,Retirement,302358.76,2023-08-30
382,1677,Savings,471354.99,2023-11-20
383,9154,Savings,197342.78,2021-12-23
384,9313,Savings,460214.58,2022-10-19
385,557,Savings,493807.37,2021-07-24
386,6063,Retirement,264643.8,2022-11-26
387,71,Brokerage,234298.33,2024-07-06
388,5972,Brokerage,312113.51,2024-10-19
389,46,Retirement,305921.94,2021-06-25
390,6702,Brokerage,467905.88,2024-02-26
391,7056,Savings,163268.79,2025-05-24
392,7870,Brokerage,377636.31,2022-04-02
393,4758,Brokerage,151358.15,2025-05-15
394,5036,Retirement,125101.88,2024-06-01
395,2677,Retirement,108896.85,2022-02-23
396,1189,Savings,93056.44,2021-02-16
397,5174,Retirement,43951.23,2022-04-03
398,850,Retirement,242546.95,2020-11-09
399,3219,Savings,80626.92,2024-08-31
400,8132,Retirement,26365.49,2024-06-22
401,6866,Brokerage,377572.51,2024-07-01
402,2939,Brokerage,69039.44,2024-02-18
403,5465,Savings,370826.48,2023-06-15
404,9566,Savings,359727.92,2021-01-30
405,9680,Brokerage,255396.39,2021-07-08
406,3169,Brokerage,227109.03,2023-07-02
407,3111,Retirement,364540.01,2025-05-10
408,4816,Retirement,133906.15,2023-06-22
409,7350,Retirement,272724.84,2021-01-04
410,2,Retirement,244158.06,2021-08-30
411,421,Retirement,373645.17,2021-07-01
412,8758,Retirement,432330.69,2025-04-03
413,3695,Retirement,493154.76,2024-04-30
414,85,Savings,417655.05,2023-02-09
415,6776,Retirement,33489.25,2022-07-17
416,9967,Brokerage,392145.94,2021-08-02
417,559,Savings,276468.38,2020-12-21
418,5854,Brokerage,239077.24,2023-01-28
419,3915,Savings,79061.64,2020-12-13
420,8819,Savings,170292.21,2021-04-16
421,4391,Retirement,188680.96,2023-08-18
422,4191,Brokerage,300534.37,2020-12-18
423,1203,Savings,396366.86,2023-12-14
424,8338,Brokerage,168878.14,2025-03-24
425,8923,Savings,34922.13,2021-01-22
426,1564,Retirement,447074.76,2022-01-07
427,7404,Retirement,131980.5,2022-12-10
428,6430,Savings,179701.43,2023-07-27
429,9868,Savings,54071.45,2021-12-22
430,6527,Brokerage,321539.29,2020-09-24
431,7747,Brokerage,20542.1,2020-09-30
432,186,Savings,119144.13,2020-12-21
433,207,Savings,152298.6,2022-04-20
434,5108,Brokerage,267486.0,2024-03-31
435,302,Brokerage,300124.53,2022-09-07
436,8945,Brokerage,84996.59,2022-04-05
437,8842,Brokerage,338891.17,2021-08-22
438,9644,Retirement,193796.4,2021-02-26
439,2627,Savings,364349.4,2024-04-08
440,3909,Savings,182732.1,2024-11-29
441,8913,Savings,196666.8,2022-05-31
442,4567,Savings,485911.44,2025-01-14
443,345,Savings,219632.1,2023-11-24
444,8856,Brokerage,71533.64,2024-07-27
445,5271,Brokerage,302080.65,2021-10-07
446,5537,Brokerage,485267.2,2024-11-17
447,6261,Retirement,344484.84,2021-12-16
448,9836,Brokerage,432810.58,2023-02-13
449,3879,Retirement,359020.65,2024-10-23
450,2166,Brokerage,23024.35,2020-11-09
451,3111,Savings,492654.08,2023-09-06
452,4915,Retirement,424252.12,2024-06-13
453,8244,Savings,449501.37,2021-11-06
454,7078,Retirement,16498.61,2022-04-07
455,9915,Savings,238898.8,2022-01-28
456,698,Savings,79934.74,2024-06-02
457,1925,Savings,348142.22,2022-01-11
458,1519,Savings,418743.32,2021-09-02
459,4623,Brokerage,34824.69,2021-11-27
460,3272,Savings,427360.22,2020-11-15
461,2380,Retirement,186179.02,2024-09-24
462,1577,Retirement,266242.5,2023-03-12
463,9070,Retirement,278242.99,2024-06-25
464,5619,Brokerage,399172.96,2024-10-24
465,3949,Brokerage,327360.5,2024-08-31
466,1826,Savings,326379.88,2024-02-12
467,530,Retirement,497068.47,2022-11-05
468,2604,Brokerage,4135.18,2021-11-16
469,3701,Savings,452016.83,2025-02-24
470,115,Retirement,236090.56,2024-12-30
471,4467,Retirement,354139.91,2024-07-03
472,4855,Retirement,361836.8,2021-09-28
473,930,Savings,337842.53,2022-08-26
474,2255,Savings,447177.0,2023-11-07
475,1310,Retirement,374111.09,2023-07-01
476,4740,Retirement,371678.41,2023-09-26
477,9377,Retirement,363243.31,2021-08-23
478,9447,Retirement,207718.4,2025-01-27
479,7962,Retirement,498890.1,2021-04-14
480,2168,Retirement,85800.0,2023-08-07
481,5353,Savings,378266.78,2022-01-30
482,6160,Brokerage,178467.55,2022-03-16
483,223,Brokerage,373265.35,2023-11-04
484,1208,Savings,264983.39,2021-09-04
485,270,Brokerage,183855.0,2024-04-25
486,9102,Retirement,-2001.48,2021-08-30
487,6362,Savings,197648.81,2020-12-25
488,5418,Brokerage,193652.22,2025-07-17
489,681,Retirement,194883.92,2022-06-04
490,7111,Brokerage,182337.11,2025-07-19
491,2118,Savings,263105.43,2023-01-23
492,1438,Savings,314810.13,2021-08-05
493,4358,Brokerage,310041.38,2021-12-07
494,9630,Brokerage,529.24,2023-02-22
495,3545,Savings,17119.88,2021-10-02
496,1938,Brokerage,24644.64,2023-09-20
497,3888,Savings,9550.31,2021-12-14
498,5978,Brokerage,6769.27,2023-09-01
499,4298,Retirement,74830.19,2021-03-10
500,3278,Retirement,377272.95,2021-11-13
501,9314,Retirement,346537.47,2021-09-25
502,6008,Brokerage,428021.4,2023-12-26
503,9413,Savings,411311.81,2025-03-07
504,6430,Brokerage,20017.19,2022-08-05
505,8740,Retirement,16713.95,2024-11-10
506,7594,Retirement,458201.89,2025-03-16
507,8078,Retirement,329101.04,2023-05-05
508,4224,Retirement,490648.63,2022-08-06
509,9676,Brokerage,17141.6,2022-05-28
510,4684,Savings,276202.61,2025-04-03
511,9912,Retirement,345210.32,2021-01-11
512,5397,Brokerage,254466.33,2021-10-29
513,2038,Savings,3226.44,2020-07-28
514,9193,Brokerage,357774.96,2021-01-28
515,9753,Retirement,170669.69,2020-12-22
516,5741,Savings,101737.49,2020-11-26
517,4637,Retirement,196059.14,2023-07-29
518,6655,Brokerage,432812.69,2022-07-20
519,9784,Savings,182352.31,2023-09-23
520,2021,Retirement,306348.16,2025-06-25
521,858,Retirement,348202.73,2022-06-29
522,6225,Brokerage,113540.54,2024-03-13
523,6692,Brokerage,404484.34,2023-03-20
524,2287,Retirement,268589.19,2021-03-13
525,500,Retirement,294.93,2021-12-17
526,7355,Savings,72903.0,2021-01-04
527,6908,Retirement,3097.89,2023-05-12
528,3224,Retirement,398887.38,2020-08-12
529,1031,Retirement,249503.78,2025-02-18
530,446,Brokerage,184101.71,2025-05-19
531,3262,Savings,-2794.14,2023-07-01
532,7229,Brokerage,338092.32,2021-12-04
533,1478,Retirement,246010.46,2022-02-04
534,1539,Retirement,208739.6,2022-10-23
535,5683,Savings,217219.04,2025-01-05
536,1014,Retirement,60119.02,2022-09-04
537,4189,Retirement,32901.92,2022-05-10
538,4019,Savings,159830.61,2022-03-19
539,7248,Savings,129000.88,2021-08-14
540,6151,Retirement,364621.08,2024-11-26
541,5987,Brokerage,44022.28,2022-12-01
542,5241,Savings,469179.39,2025-06-21
543,7661,Savings,22479.19,2023-09-03
544,7541,Brokerage,284198.1,2025-03-21
545,1310,Savings,465864.97,2024-12-25
546,9431,Savings,195919.11,2025-02-27
547,4921,Savings,199330.95,2021-05-23
548,3520,Retirement,161699.35,2023-04-20
549,2017,Savings,113700.99,2022-02-17
550,5281,Savings,301672.97,2024-04-11
551,4323,Savings,333629.09,2022-03-18
552,7537,Retirement,271204.0,2022-04-22
553,114,Retirement,341765.71,2023-06-28
554,806,Brokerage,485137.43,2020-10-31
555,7836,Retirement,399650.88,2025-07-28
556,1454,Savings,129006.4,2020-12-17
557,98,Savings,45632.1,2021-04-16
558,3042,Brokerage,7894.38,2023-08-30
559,5897,Retirement,241878.8,2024-01-03
560,3556,Brokerage,424405.98,2023-11-23
561,2354,Savings,351766.44,2024-03-22
562,7849,Brokerage,391997.66,2020-12-18
563,2184,Brokerage,280588.82,2023-05-18
564,6634,Retirement,125833.52,2024-07-22
565,3049,Savings,460387.49,2024-05-11
566,5279,Brokerage,380358.72,2022-04-02
567,6469,Retirement,184911.34,2023-09-04
568,9728,Savings,89349.99,2023-02-15
569,2709,Retirement,234065.87,2021-07-11
570,3880,Savings,466191.28,2025-04-28
571,2613,Brokerage,359069.68,2020-08-28
572,5541,Savings,66049.13,2021-08-30
573,2240,Brokerage,341435.31,2025-07-08
574,356,Savings,42429.97,2023-10-29
575,3,Brokerage,208756.32,2022-05-05
576,3095,Brokerage,379378.42,2023-10-17
577,2871,Savings,135844.65,2021-08-05
578,2266,Brokerage,480571.32,2021-06-16
579,8105,Savings,30654.07,2023-01-01
580,9683,Savings,70422.15,2024-04-19
581,9964,Brokerage,398846.19,2024-04-26
582,7918,Retirement,409038.54,2023-10-28
583,1378,Retirement,420584.27,2023-04-18
584,5605,Brokerage,447833.07,2021-06-26
585,944,Retirement,158421.77,2022-06-08
586,9313,Savings,302722.67,2022-03-27
587,1138,Brokerage,273312.64,2021-05-04
588,3624,Brokerage,9874.5,2021-12-15
589,6445,Retirement,492264.07,2023-07-07
590,3498,Savings,73136.36,2021-10-29
591,7087,Savings,360976.7,2025-01-28
592,2467,Brokerage,243845.38,2025-03-04
593,7659,Retirement,105263.68,2021-06-15
594,1236,Retirement,442784.92,2023-05-13
595,8295,Savings,479845.69,2022-01-31
596,6528,Retirement,463932.79,2024-01-16
597,7834,Brokerage,462384.12,2020-10-09
598,7258,Brokerage,99704.36,2020-08-17
599,5923,Brokerage,115210.3,2024-05-26
600,567,Retirement,305253.15,2022-08-23
601,2777,Savings,249228.8,2024-06-30
602,4985,Brokerage,313238.12,2023-01-12
603,1390,Savings,411166.25,2021-08-24
604,7749,Savings,145243.14,2024-06-20
605,879,Brokerage,448392.46,2022-09-12
606,4428,Brokerage,336075.74,2022-05-04
607,7117,Retirement,389658.12,2024-04-28
608,6011,Savings,79337.26,2022-10-14
609,7430,Retirement,64548.65,2020-11-06
610,9326,Brokerage,420137.97,2024-07-29
611,7041,Brokerage,1965.67,2023-10-20
612,656,Brokerage,351827.19,2021-01-02
613,3128,Savings,329491.67,2021-04-18
614,5847,Savings,422709.51,2021-08-30
615,6612,Retirement,472661.45,2025-04-09
616,1163,Retirement,284706.68,2024-06-07
617,4379,Retirement,295481.37,2024-07-16
618,9605,Brokerage,47766.03,2024-12-11
619,3565,Savings,347986.32,2024-11-04
620,9351,Savings,239624.65,2021-03-12
621,9410,Savings,352574.07,2024-07-01
622,9801,Brokerage,125132.17,2023-01-08
623,8292,Retirement,12362.76,2022-10-29
624,5161,Retirement,2174.05,2023-02-20
625,4622,Savings,349611.13,2021-07-07
626,3401,Brokerage,410890.76,2023-07-22
627,7152,Retirement,104321.51,2022-03-31
628,2160,Savings,107328.03,2023-07-22
629,9675,Retirement,446060.09,2022-06-24
630,1662,Brokerage,45926.37,2021-01-21
631,8980,Savings,350463.82,2024-08-28
632,8744,Savings,32688.07,2022-06-04
633,1710,Retirement,306038.51,2023-12-06
634,9215,Retirement,110129.11,2024-12-08
635,267,Brokerage,348400.64,2024-04-10
636,2990,Savings,222467.16,2022-03-03
637,2677,Brokerage,454357.63,2023-04-06
638,9693,Savings,350115.5,2023-04-23
639,4984,Retirement,146586.46,2025-03-21
