CommunicationID,ClientID,DateSent,Channel,CampaignName
140,9043,2024-12-09,Phone,Quarterly Newsletter
141,7065,2023-09-15,Phone,Promotional Offer
142,7710,2024-07-12,Phone,Welcome Campaign
143,4160,2025-07-04,Mail,Quarterly Newsletter
144,7005,2024-03-23,Mail,Reactivation Campaign
145,9544,2025-02-28,Email,Promotional Offer
146,6390,2023-08-03,Mail,Promotional Offer
147,7007,2025-03-27,Email,Quarterly Newsletter
148,7924,2025-04-11,Phone,Reactivation Campaign
149,3797,2025-07-17,Phone,Quarterly Newsletter
150,331,2023-08-31,Mail,Welcome Campaign
151,1182,2025-07-27,Email,Quarterly Newsletter
152,7425,2025-07-03,Mail,Quarterly Newsletter
153,1279,2024-09-15,Phone,Reactivation Campaign
154,2375,2024-09-01,Phone,Welcome Campaign
155,8362,2025-07-26,Email,Welcome Campaign
156,8088,2024-05-31,Phone,Quarterly Newsletter
157,3715,2024-10-16,Email,Quarterly Newsletter
158,9735,2024-09-26,Phone,Quarterly Newsletter
159,6260,2023-10-24,Email,Quarterly Newsletter
160,6891,2023-11-17,Phone,Quarterly Newsletter
161,6220,2024-05-07,Phone,Quarterly Newsletter
162,740,2025-03-05,Phone,Welcome Campaign
163,1346,2024-02-23,Phone,Welcome Campaign
164,71,2024-01-22,Mail,Welcome Campaign
165,5147,2023-11-21,Email,Promotional Offer
166,7575,2023-09-28,Email,Promotional Offer
167,9258,2025-06-14,Email,Reactivation Campaign
168,4983,2025-07-24,Phone,Promotional Offer
169,6693,2024-01-31,Email,Reactivation Campaign
170,8715,2023-11-19,Phone,Promotional Offer
171,6771,2025-02-24,Phone,Welcome Campaign
172,4465,2025-06-21,Mail,Quarterly Newsletter
173,1592,2025-05-10,Mail,Reactivation Campaign
174,476,2023-08-23,Mail,Quarterly Newsletter
175,5285,2023-11-13,Email,Promotional Offer
176,2028,2024-03-31,Phone,Reactivation Campaign
177,2636,2025-01-02,Phone,Quarterly Newsletter
178,790,2024-10-29,Phone,Welcome Campaign
179,5021,2023-11-20,Phone,Welcome Campaign
180,5702,2023-12-24,Mail,Promotional Offer
181,3163,2024-06-18,Mail,Welcome Campaign
182,2446,2024-01-21,Email,Reactivation Campaign
183,9374,2024-06-22,Phone,Welcome Campaign
184,2301,2024-05-16,Mail,Welcome Campaign
185,7972,2024-06-09,Mail,Welcome Campaign
186,1412,2023-08-03,Email,Quarterly Newsletter
187,1031,2024-08-05,Email,Promotional Offer
188,3286,2023-12-17,Mail,Promotional Offer
189,4713,2024-08-19,Phone,Reactivation Campaign
190,226,2025-07-18,Phone,Quarterly Newsletter
191,4305,2024-10-11,Email,Reactivation Campaign
192,1424,2023-08-11,Mail,Reactivation Campaign
193,2900,2025-04-03,Email,Promotional Offer
194,4392,2024-04-20,Email,Quarterly Newsletter
195,8965,2024-01-05,Email,Reactivation Campaign
196,9662,2024-06-15,Phone,Quarterly Newsletter
197,8132,2025-02-14,Email,Reactivation Campaign
198,6116,2024-06-18,Mail,Welcome Campaign
199,8094,2024-08-22,Phone,Quarterly Newsletter
200,1126,2024-07-19,Phone,Promotional Offer
201,4999,2024-03-11,Mail,Reactivation Campaign
202,5,2024-01-30,Mail,Promotional Offer
203,3761,2024-11-14,Phone,Promotional Offer
204,9289,2025-06-06,Email,Quarterly Newsletter
205,5691,2024-03-28,Mail,Reactivation Campaign
206,3359,2025-06-09,Phone,Reactivation Campaign
207,3345,2023-08-04,Mail,Quarterly Newsletter
208,1363,2025-05-26,Email,Welcome Campaign
209,423,2025-04-26,Phone,Welcome Campaign
210,4043,2023-11-01,Mail,Reactivation Campaign
211,5217,2023-11-16,Email,Promotional Offer
212,5198,2025-01-06,Email,Reactivation Campaign
213,1584,2024-11-26,Email,Welcome Campaign
214,8725,2024-07-05,Phone,Welcome Campaign
215,6588,2024-08-31,Email,Promotional Offer
216,8030,2025-04-02,Mail,Promotional Offer
217,9191,2025-05-12,Phone,Welcome Campaign
218,9743,2025-04-22,Email,Quarterly Newsletter
219,8677,2025-03-12,Email,Reactivation Campaign
220,6428,2024-02-08,Phone,Reactivation Campaign
221,9262,2023-09-04,Mail,Quarterly Newsletter
222,4438,2023-12-17,Mail,Welcome Campaign
223,3924,2025-01-25,Mail,Reactivation Campaign
224,3920,2024-09-08,Email,Promotional Offer
225,2780,2025-05-04,Email,Promotional Offer
226,2138,2023-12-22,Phone,Quarterly Newsletter
227,4560,2024-11-12,Email,Promotional Offer
228,5906,2023-11-23,Email,Promotional Offer
229,6839,2025-01-29,Mail,Welcome Campaign
230,3678,2024-05-20,Email,Reactivation Campaign
231,1559,2024-01-27,Email,Promotional Offer
232,8948,2025-05-10,Email,Reactivation Campaign
233,2952,2024-11-02,Phone,Promotional Offer
234,9466,2025-03-29,Email,Reactivation Campaign
235,6496,2024-05-11,Mail,Reactivation Campaign
236,8440,2024-08-31,Phone,Reactivation Campaign
237,2311,2024-09-29,Mail,Reactivation Campaign
238,4228,2023-10-31,Mail,Quarterly Newsletter
239,3598,2024-03-25,Phone,Reactivation Campaign
240,1375,2024-12-12,Phone,Welcome Campaign
241,5108,2023-11-09,Email,Welcome Campaign
242,3755,2024-10-22,Phone,Promotional Offer
243,1051,2024-11-27,Phone,Reactivation Campaign
244,7024,2025-01-03,Email,Reactivation Campaign
245,8921,2025-01-06,Email,Reactivation Campaign
246,4824,2024-03-15,Email,Quarterly Newsletter
247,9814,2025-04-18,Email,Promotional Offer
248,3629,2025-02-12,Email,Reactivation Campaign
249,6856,2023-08-15,Mail,Welcome Campaign
250,9689,2024-06-17,Email,Reactivation Campaign
251,9068,2024-11-05,Mail,Welcome Campaign
252,7031,2024-07-23,Email,Welcome Campaign
253,5001,2024-03-09,Phone,Promotional Offer
254,2763,2025-01-24,Mail,Welcome Campaign
255,2511,2025-02-07,Mail,Reactivation Campaign
256,2301,2025-07-03,Email,Promotional Offer
257,9877,2024-07-18,Phone,Quarterly Newsletter
258,1793,2024-01-09,Email,Quarterly Newsletter
259,759,2023-08-25,Email,Quarterly Newsletter
260,2840,2024-05-12,Mail,Welcome Campaign
261,5510,2024-02-12,Mail,Reactivation Campaign
262,5439,2024-06-06,Phone,Promotional Offer
263,6425,2024-02-12,Phone,Welcome Campaign
264,4208,2024-10-17,Mail,Welcome Campaign
265,5646,2025-04-20,Phone,Quarterly Newsletter
266,4374,2024-05-18,Mail,Quarterly Newsletter
267,7734,2023-11-12,Email,Welcome Campaign
268,6257,2023-12-14,Email,Welcome Campaign
269,7506,2024-04-12,Phone,Promotional Offer
270,5263,2025-06-27,Phone,Quarterly Newsletter
271,1611,2023-10-13,Phone,Promotional Offer
272,8416,2024-07-27,Email,Welcome Campaign
273,4021,2023-11-11,Phone,Quarterly Newsletter
274,796,2024-05-10,Mail,Welcome Campaign
275,8012,2024-09-02,Phone,Promotional Offer
276,2222,2023-11-17,Phone,Quarterly Newsletter
277,7098,2023-09-21,Email,Welcome Campaign
278,2249,2024-03-06,Email,Promotional Offer
279,1903,2024-11-01,Mail,Welcome Campaign
280,2985,2024-01-10,Phone,Quarterly Newsletter
281,764,2025-02-02,Phone,Promotional Offer
282,2104,2023-08-29,Mail,Reactivation Campaign
283,1133,2024-10-15,Email,Welcome Campaign
284,3767,2023-08-06,Email,Reactivation Campaign
285,3475,2023-08-02,Phone,Reactivation Campaign
286,8813,2023-11-12,Email,Quarterly Newsletter
287,4044,2023-10-08,Phone,Reactivation Campaign
288,287,2024-08-19,Email,Quarterly Newsletter
289,8452,2024-12-01,Mail,Welcome Campaign
290,1588,2024-08-08,Mail,Reactivation Campaign
291,6697,2024-11-17,Phone,Welcome Campaign
292,7733,2025-02-08,Mail,Welcome Campaign
293,7937,2023-08-16,Email,Welcome Campaign
294,698,2024-05-22,Email,Reactivation Campaign
295,5597,2024-04-24,Mail,Promotional Offer
296,8921,2025-02-07,Phone,Welcome Campaign
297,4452,2024-09-27,Email,Welcome Campaign
298,4317,2024-03-10,Mail,Welcome Campaign
299,9621,2024-05-17,Email,Promotional Offer
300,5371,2024-07-14,Phone,Welcome Campaign
301,1621,2023-08-26,Email,Welcome Campaign
302,935,2023-12-23,Mail,Welcome Campaign
303,5887,2024-09-07,Phone,Welcome Campaign
304,1109,2024-03-15,Email,Reactivation Campaign
305,212,2024-01-12,Mail,Welcome Campaign
306,4848,2023-07-29,Phone,Welcome Campaign
307,825,2024-05-03,Email,Welcome Campaign
308,6984,2025-04-06,Email,Quarterly Newsletter
309,6746,2024-01-10,Email,Reactivation Campaign
310,7806,2024-12-07,Phone,Promotional Offer
311,4853,2024-08-07,Phone,Welcome Campaign
312,9591,2024-09-25,Email,Reactivation Campaign
313,4972,2023-11-13,Email,Quarterly Newsletter
314,4624,2024-07-27,Phone,Reactivation Campaign
315,1993,2024-05-28,Phone,Reactivation Campaign
316,1500,2025-02-05,Email,Reactivation Campaign
317,3233,2024-11-10,Phone,Promotional Offer
318,471,2024-12-27,Email,Welcome Campaign
319,1272,2024-08-15,Phone,Reactivation Campaign
320,1444,2024-02-09,Mail,Promotional Offer
321,8749,2023-10-01,Email,Quarterly Newsletter
322,9305,2023-10-02,Mail,Reactivation Campaign
323,4715,2024-04-23,Email,Welcome Campaign
324,6637,2023-11-06,Mail,Welcome Campaign
325,5001,2024-09-15,Mail,Reactivation Campaign
326,7192,2024-03-21,Phone,Quarterly Newsletter
327,7471,2024-04-07,Mail,Welcome Campaign
328,998,2025-06-02,Mail,Promotional Offer
329,7774,2023-11-26,Phone,Reactivation Campaign
330,7661,2024-07-12,Mail,Quarterly Newsletter
331,1692,2023-10-13,Phone,Welcome Campaign
332,8906,2024-11-04,Email,Promotional Offer
333,3481,2024-08-03,Phone,Welcome Campaign
334,8744,2023-10-21,Mail,Reactivation Campaign
335,8296,2025-02-19,Email,Promotional Offer
336,397,2024-12-17,Phone,Welcome Campaign
337,6309,2024-06-10,Phone,Promotional Offer
338,7279,2023-09-05,Mail,Quarterly Newsletter
339,9675,2024-11-12,Email,Quarterly Newsletter
340,4978,2024-08-02,Mail,Quarterly Newsletter
341,3618,2023-08-11,Email,Welcome Campaign
342,5595,2025-05-01,Phone,Reactivation Campaign
343,6192,2023-09-29,Mail,Reactivation Campaign
344,2091,2025-05-12,Email,Welcome Campaign
345,5956,2024-09-15,Phone,Welcome Campaign
346,611,2025-03-21,Phone,Reactivation Campaign
347,9297,2023-10-18,Mail,Reactivation Campaign
348,1263,2025-02-19,Email,Reactivation Campaign
349,8108,2025-06-25,Mail,Welcome Campaign
350,761,2025-04-18,Mail,Reactivation Campaign
351,4740,2023-12-05,Mail,Reactivation Campaign
352,1413,2023-09-01,Phone,Reactivation Campaign
353,946,2024-01-25,Phone,Promotional Offer
354,536,2023-08-16,Email,Quarterly Newsletter
355,5488,2024-10-05,Mail,Quarterly Newsletter
356,5224,2024-10-06,Phone,Welcome Campaign
357,8733,2025-02-16,Email,Quarterly Newsletter
358,3646,2023-11-20,Mail,Quarterly Newsletter
359,7772,2025-06-28,Email,Welcome Campaign
360,8279,2024-09-24,Mail,Quarterly Newsletter
361,1879,2025-02-01,Email,Quarterly Newsletter
362,2270,2024-03-02,Email,Quarterly Newsletter
363,4022,2025-02-14,Mail,Welcome Campaign
364,3683,2024-03-16,Phone,Promotional Offer
365,4812,2025-04-21,Phone,Quarterly Newsletter
366,7373,2025-01-11,Mail,Reactivation Campaign
367,1724,2024-07-13,Email,Reactivation Campaign
368,1741,2025-04-10,Email,Promotional Offer
369,8753,2024-05-21,Phone,Promotional Offer
370,7407,2024-10-19,Mail,Reactivation Campaign
371,3242,2025-07-20,Phone,Promotional Offer
372,4455,2025-04-11,Mail,Welcome Campaign
373,1470,2023-11-24,Phone,Reactivation Campaign
374,3204,2023-11-01,Phone,Promotional Offer
375,6170,2024-05-03,Mail,Welcome Campaign
376,8829,2024-01-28,Phone,Promotional Offer
377,9949,2023-11-12,Phone,Welcome Campaign
378,8713,2025-06-19,Mail,Reactivation Campaign
379,5302,2023-11-23,Mail,Promotional Offer
380,4105,2024-09-10,Mail,Reactivation Campaign
381,4188,2025-07-10,Mail,Reactivation Campaign
382,1790,2024-05-21,Email,Reactivation Campaign
383,1783,2023-08-30,Phone,Quarterly Newsletter
384,6632,2024-12-27,Phone,Quarterly Newsletter
385,7046,2024-10-22,Mail,Promotional Offer
386,9090,2024-10-28,Mail,Quarterly Newsletter
387,9878,2023-10-23,Phone,Welcome Campaign
388,6617,2024-01-19,Email,Quarterly Newsletter
389,2384,2024-01-05,Mail,Promotional Offer
390,2032,2025-02-23,Mail,Quarterly Newsletter
391,7496,2024-06-25,Phone,Reactivation Campaign
392,3277,2024-01-30,Email,Welcome Campaign
393,5075,2025-04-28,Phone,Welcome Campaign
394,1180,2025-01-12,Email,Welcome Campaign
395,72,2025-07-25,Phone,Quarterly Newsletter
396,926,2024-01-02,Phone,Reactivation Campaign
397,5015,2024-08-13,Mail,Welcome Campaign
398,4517,2024-11-30,Phone,Reactivation Campaign
399,889,2025-01-25,Mail,Promotional Offer
400,6868,2023-12-09,Phone,Quarterly Newsletter
401,3043,2024-10-04,Email,Welcome Campaign
402,3825,2024-01-20,Mail,Promotional Offer
403,356,2024-10-22,Mail,Promotional Offer
404,6686,2024-10-06,Phone,Reactivation Campaign
405,7283,2023-09-25,Phone,Reactivation Campaign
406,3357,2025-05-01,Mail,Promotional Offer
407,9721,2023-08-05,Email,Reactivation Campaign
408,6033,2024-10-25,Email,Welcome Campaign
409,9885,2024-04-29,Email,Welcome Campaign
410,3277,2025-05-06,Phone,Quarterly Newsletter
411,3968,2025-03-03,Mail,Reactivation Campaign
412,696,2024-06-13,Phone,Reactivation Campaign
413,6393,2024-03-11,Mail,Welcome Campaign
414,4193,2025-03-18,Phone,Welcome Campaign
415,1348,2023-11-22,Email,Welcome Campaign
416,7144,2024-12-23,Mail,Welcome Campaign
417,9307,2025-06-29,Email,Reactivation Campaign
418,7657,2024-12-08,Email,Quarterly Newsletter
419,5659,2025-05-23,Phone,Reactivation Campaign
420,7527,2024-05-11,Phone,Quarterly Newsletter
421,8089,2023-12-01,Email,Reactivation Campaign
422,6115,2024-02-22,Phone,Reactivation Campaign
423,9271,2025-02-06,Mail,Quarterly Newsletter
424,4068,2024-11-10,Mail,Reactivation Campaign
425,7674,2024-03-12,Mail,Quarterly Newsletter
426,1818,2025-01-29,Email,Promotional Offer
427,7453,2023-08-06,Email,Promotional Offer
428,7036,2024-09-01,Email,Reactivation Campaign
429,1571,2025-07-19,Email,Promotional Offer
430,3056,2024-05-11,Phone,Welcome Campaign
431,9309,2025-07-16,Email,Promotional Offer
432,431,2025-05-05,Mail,Promotional Offer
433,8368,2024-04-18,Email,Quarterly Newsletter
434,5468,2023-10-27,Phone,Promotional Offer
435,2964,2023-12-04,Email,Welcome Campaign
436,8367,2024-11-04,Email,Welcome Campaign
437,345,2024-11-14,Mail,Reactivation Campaign
438,4224,2024-07-10,Email,Welcome Campaign
439,3660,2023-08-24,Mail,Welcome Campaign
440,6620,2025-03-25,Mail,Quarterly Newsletter
441,1338,2025-01-17,Email,Reactivation Campaign
442,4219,2024-01-18,Phone,Welcome Campaign
443,47,2024-01-07,Phone,Promotional Offer
444,3683,2025-02-26,Phone,Quarterly Newsletter
445,6326,2025-07-07,Phone,Quarterly Newsletter
446,4137,2024-10-13,Phone,Reactivation Campaign
447,4850,2023-12-11,Mail,Promotional Offer
448,3151,2025-06-07,Phone,Reactivation Campaign
449,9781,2024-08-27,Phone,Welcome Campaign
450,596,2025-06-03,Mail,Welcome Campaign
451,523,2024-08-08,Email,Reactivation Campaign
452,7898,2024-05-24,Mail,Promotional Offer
453,68,2024-07-14,Mail,Reactivation Campaign
454,5049,2025-06-15,Mail,Reactivation Campaign
455,9956,2025-04-30,Phone,Quarterly Newsletter
456,4460,2024-08-26,Email,Welcome Campaign
457,6875,2024-08-26,Phone,Quarterly Newsletter
458,7282,2024-08-02,Mail,Promotional Offer
459,2759,2023-12-12,Email,Promotional Offer
460,7162,2025-03-19,Phone,Quarterly Newsletter
461,6759,2024-03-28,Email,Welcome Campaign
462,5191,2024-01-29,Email,Reactivation Campaign
463,4597,2025-02-12,Email,Promotional Offer
464,649,2024-02-23,Email,Welcome Campaign
465,2508,2024-04-17,Phone,Reactivation Campaign
466,6726,2023-10-25,Phone,Welcome Campaign
467,1026,2024-11-13,Email,Reactivation Campaign
468,6150,2024-07-01,Phone,Promotional Offer
469,6502,2025-01-03,Mail,Promotional Offer
470,7536,2024-06-10,Email,Promotional Offer
471,5128,2025-07-02,Mail,Reactivation Campaign
472,7295,2024-09-27,Mail,Reactivation Campaign
473,8049,2024-11-20,Email,Welcome Campaign
474,3069,2024-05-09,Mail,Quarterly Newsletter
475,5239,2025-01-31,Phone,Welcome Campaign
476,9503,2024-06-24,Phone,Welcome Campaign
477,568,2023-11-15,Phone,Reactivation Campaign
478,3162,2024-11-11,Phone,Reactivation Campaign
479,816,2025-07-28,Email,Welcome Campaign
480,2966,2023-08-31,Mail,Welcome Campaign
481,8093,2024-05-16,Email,Quarterly Newsletter
482,7224,2023-10-29,Phone,Quarterly Newsletter
483,8116,2023-09-07,Email,Welcome Campaign
484,1265,2024-04-19,Phone,Quarterly Newsletter
485,3769,2024-05-22,Phone,Welcome Campaign
486,1531,2023-09-03,Mail,Reactivation Campaign
487,4947,2025-01-23,Email,Reactivation Campaign
488,7027,2024-08-08,Email,Quarterly Newsletter
489,3142,2024-08-28,Email,Quarterly Newsletter
490,8304,2024-12-24,Phone,Reactivation Campaign
491,6737,2023-12-22,Mail,Reactivation Campaign
492,2821,2024-06-25,Email,Promotional Offer
493,9170,2024-01-12,Mail,Promotional Offer
494,8805,2025-02-04,Mail,Promotional Offer
495,6983,2023-10-14,Email,Quarterly Newsletter
496,642,2024-01-14,Mail,Reactivation Campaign
497,3703,2024-09-07,Email,Reactivation Campaign
498,9169,2025-07-08,Email,Quarterly Newsletter
499,1517,2024-07-28,Email,Welcome Campaign
500,4580,2023-08-04,Email,Welcome Campaign
501,9406,2023-08-27,Phone,Welcome Campaign
502,5613,2024-08-15,Email,Quarterly Newsletter
503,1671,2023-11-07,Mail,Quarterly Newsletter
504,2654,2023-12-08,Mail,Quarterly Newsletter
505,740,2023-11-01,Email,Reactivation Campaign
506,8348,2025-04-18,Phone,Quarterly Newsletter
507,6522,2024-02-09,Email,Promotional Offer
508,147,2024-04-20,Mail,Quarterly Newsletter
509,6078,2024-06-22,Email,Welcome Campaign
510,9761,2024-01-03,Email,Promotional Offer
511,9991,2025-03-30,Phone,Welcome Campaign
512,5524,2023-09-15,Mail,Welcome Campaign
513,6342,2023-09-22,Email,Quarterly Newsletter
514,9686,2024-04-02,Mail,Welcome Campaign
515,5034,2025-05-05,Email,Quarterly Newsletter
516,4638,2024-10-28,Email,Promotional Offer
517,8512,2024-06-30,Phone,Promotional Offer
518,6586,2023-08-03,Mail,Reactivation Campaign
519,5869,2024-11-26,Phone,Welcome Campaign
520,6557,2024-01-28,Phone,Welcome Campaign
521,4513,2024-04-09,Phone,Reactivation Campaign
522,5773,2023-09-28,Phone,Reactivation Campaign
523,8333,2024-04-17,Phone,Reactivation Campaign
524,8264,2024-01-11,Phone,Welcome Campaign
525,4398,2025-05-24,Phone,Promotional Offer
526,6908,2024-07-26,Email,Welcome Campaign
527,9913,2023-09-28,Mail,Welcome Campaign
528,1445,2024-06-11,Email,Reactivation Campaign
529,6489,2024-09-15,Phone,Reactivation Campaign
530,7930,2025-02-10,Phone,Promotional Offer
531,6490,2024-01-09,Mail,Reactivation Campaign
532,7786,2025-01-23,Phone,Welcome Campaign
533,6390,2025-03-11,Phone,Welcome Campaign
534,6431,2025-03-16,Mail,Promotional Offer
535,7841,2023-12-12,Email,Reactivation Campaign
536,5043,2024-02-11,Phone,Welcome Campaign
537,7035,2024-12-10,Phone,Quarterly Newsletter
538,360,2024-08-03,Phone,Quarterly Newsletter
539,9702,2023-12-25,Mail,Promotional Offer
540,5744,2025-07-04,Phone,Promotional Offer
541,2077,2025-05-25,Email,Reactivation Campaign
542,5480,2024-11-30,Email,Promotional Offer
543,7805,2023-09-08,Mail,Promotional Offer
544,1532,2025-03-11,Email,Welcome Campaign
545,4713,2025-07-05,Phone,Reactivation Campaign
546,4697,2023-12-04,Mail,Quarterly Newsletter
547,7651,2025-03-13,Phone,Reactivation Campaign
548,3517,2025-04-22,Email,Welcome Campaign
549,2047,2023-12-29,Mail,Welcome Campaign
550,9429,2025-04-10,Mail,Promotional Offer
551,2309,2025-06-28,Mail,Promotional Offer
552,3451,2025-04-24,Phone,Promotional Offer
553,6076,2025-04-21,Mail,Promotional Offer
554,3936,2024-04-19,Email,Reactivation Campaign
555,3622,2024-07-03,Phone,Quarterly Newsletter
556,2801,2024-05-21,Email,Promotional Offer
