TransactionID,AccountID,TransactionDate,TransactionType,Amount
223,15873,2022-11-18,Deposit,22786.8
224,6063,2022-10-04,Deposit,35347.03
225,15645,2020-09-12,Withdrawal,39757.14
226,15680,2021-01-28,Withdrawal,10028.53
227,13794,2023-01-16,Withdrawal,36023.88
228,2744,2025-04-18,Withdrawal,7995.88
229,6072,2021-12-26,Withdrawal,18128.46
230,9594,2024-05-15,Withdrawal,27678.73
231,16657,2024-04-11,Withdrawal,1123.85
232,17781,2023-02-18,Deposit,29267.8
233,18686,2023-05-02,Deposit,30581.31
234,325,2025-02-12,Deposit,2812.41
235,12402,2023-04-19,Deposit,43469.12
236,19097,2024-05-29,Trade,1983.92
237,3348,2023-05-24,Trade,29130.97
238,14687,2022-04-22,Trade,11657.77
239,8918,2020-09-04,Trade,37833.89
240,8099,2023-03-09,Withdrawal,28.94
241,6961,2024-11-24,Trade,1830.33
242,29,2025-03-01,Withdrawal,32824.68
243,2151,2021-04-22,Trade,46833.34
244,15131,2024-02-03,Deposit,40561.38
245,19495,2023-12-01,Withdrawal,2393.78
246,8514,2021-04-14,Withdrawal,2758.87
247,12206,2024-07-25,Trade,47297.13
248,16512,2023-05-27,Trade,8479.89
249,1421,2025-01-09,Deposit,12517.63
250,13101,2021-06-16,Trade,38293.8
251,9315,2024-02-07,Trade,41458.49
252,6800,2024-02-01,Trade,31563.98
253,15439,2023-11-18,Withdrawal,9040.66
254,10630,2023-06-17,Withdrawal,24591.98
255,16731,2024-11-03,Deposit,488.44
256,4296,2022-12-12,Deposit,13730.43
257,6714,2021-07-01,Trade,8019.54
258,6453,2021-11-22,Deposit,8435.27
259,7082,2024-02-08,Trade,44212.63
260,2247,2020-08-18,Trade,10927.94
261,12581,2024-04-27,Trade,25700.11
262,5327,2024-12-09,Deposit,19869.46
263,5671,2023-04-24,Deposit,17182.17
264,3291,2022-07-25,Deposit,29865.96
265,9429,2022-09-24,Deposit,20537.99
266,9268,2023-03-26,Withdrawal,40684.61
267,12718,2020-10-31,Deposit,29328.35
268,18275,2021-01-12,Trade,7496.68
269,11710,2023-07-18,Withdrawal,47232.42
270,6861,2022-08-01,Deposit,46284.02
271,8425,2022-10-30,Withdrawal,43689.54
272,12789,2021-01-05,Trade,2125.23
273,16861,2023-06-10,Trade,10049.61
274,12843,2024-11-16,Deposit,47423.12
275,16013,2024-01-26,Deposit,40680.26
276,14111,2022-11-24,Trade,32203.46
277,1915,2022-09-25,Deposit,42922.28
278,15470,2020-11-07,Withdrawal,4313.38
279,17861,2023-11-18,Trade,21605.17
280,19468,2023-04-01,Withdrawal,18345.7
281,1300,2020-10-21,Withdrawal,18117.86
282,879,2021-04-07,Deposit,7286.3
283,12121,2024-05-31,Withdrawal,36197.99
284,2731,2023-08-30,Withdrawal,38141.72
285,15448,2025-06-13,Withdrawal,5507.65
286,8266,2024-05-28,Deposit,4077.11
287,741,2022-08-10,Withdrawal,15380.74
288,10844,2024-03-18,Trade,39629.22
289,2813,2022-11-24,Deposit,22127.33
290,16613,2022-04-06,Deposit,35480.99
291,19370,2024-09-06,Trade,24554.53
292,19052,2022-01-06,Trade,7474.86
293,5029,2023-02-09,Trade,5106.67
294,17918,2021-08-20,Deposit,22068.78
295,17756,2021-12-09,Withdrawal,44496.82
296,16620,2021-06-27,Withdrawal,30483.9
297,19628,2022-05-31,Deposit,33925.77
298,5711,2020-10-25,Trade,29458.09
299,4882,2022-07-31,Deposit,39044.01
300,15141,2020-08-17,Withdrawal,49856.04
301,19253,2022-03-31,Withdrawal,39897.27
302,7448,2021-09-07,Trade,43496.92
303,8574,2024-10-30,Withdrawal,48309.97
304,17216,2025-03-28,Withdrawal,7459.64
305,8993,2021-09-22,Withdrawal,39299.52
306,12984,2024-03-11,Deposit,16601.79
307,1709,2024-11-01,Deposit,26615.51
308,706,2020-11-20,Withdrawal,655.06
309,10716,2024-05-20,Deposit,44192.6
310,429,2023-01-14,Trade,24946.49
311,13305,2024-07-17,Deposit,47603.87
312,3162,2024-04-16,Trade,48024.73
313,8358,2024-02-13,Deposit,34263.06
314,14118,2024-07-23,Withdrawal,1024.8
315,9870,2024-05-04,Trade,23246.53
316,1118,2022-09-09,Trade,6569.5
317,6262,2020-12-22,Withdrawal,47167.8
318,13431,2023-04-24,Withdrawal,18763.28
319,4449,2020-10-20,Trade,48522.18
320,1418,2023-07-07,Trade,22390.88
321,14984,2022-09-21,Withdrawal,8400.74
322,18466,2023-08-22,Trade,41889.56
323,7964,2021-09-04,Trade,27170.87
324,7099,2020-08-24,Trade,34377.88
325,18693,2021-10-21,Deposit,686.58
326,12872,2021-10-10,Trade,39165.24
327,18524,2023-07-12,Withdrawal,3075.42
328,2165,2024-10-08,Trade,29353.85
329,11847,2025-07-19,Withdrawal,16360.62
330,3387,2022-01-19,Withdrawal,3883.57
331,9688,2025-02-16,Trade,1262.07
332,6304,2023-05-26,Withdrawal,8907.06
333,14951,2023-12-12,Withdrawal,42358.43
334,13259,2023-12-30,Withdrawal,10078.39
335,3712,2021-04-26,Trade,5330.0
336,1550,2022-01-29,Deposit,23260.28
337,12635,2022-12-13,Deposit,46189.98
338,5974,2024-07-11,Withdrawal,30612.76
339,4352,2024-10-26,Withdrawal,3791.05
340,9079,2025-05-30,Deposit,47360.54
341,16818,2022-05-03,Trade,18323.08
342,19728,2025-01-15,Deposit,261.05
343,19329,2020-10-07,Deposit,14920.33
344,3995,2024-12-22,Deposit,2959.46
345,6271,2022-12-09,Withdrawal,31970.01
346,6885,2023-06-05,Trade,9455.73
347,15591,2025-06-22,Withdrawal,36067.11
348,4733,2024-09-20,Deposit,21674.65
349,19089,2025-03-24,Trade,4838.84
350,11833,2024-08-27,Trade,36975.58
351,15628,2021-08-19,Trade,37780.64
352,6501,2021-08-08,Withdrawal,41690.2
353,14541,2022-08-03,Trade,48932.06
354,19617,2025-04-20,Withdrawal,12367.21
355,14501,2023-07-20,Trade,7278.43
356,17728,2023-09-17,Deposit,19513.27
357,7877,2020-08-20,Trade,45060.22
358,17869,2021-10-31,Deposit,13060.85
359,2440,2020-10-11,Withdrawal,40562.09
360,6097,2023-03-13,Trade,24642.25
361,7133,2023-03-29,Deposit,4627.89
362,10731,2023-05-07,Trade,25760.45
363,5523,2022-01-28,Withdrawal,2503.52
364,9555,2023-10-01,Deposit,13939.87
365,6029,2021-04-30,Deposit,43086.7
366,3844,2023-12-22,Deposit,4745.97
367,17902,2024-10-08,Trade,9156.99
368,17205,2024-10-29,Trade,39188.34
369,19243,2023-11-08,Deposit,12975.05
370,10180,2022-04-29,Withdrawal,2200.57
371,10489,2025-06-09,Withdrawal,45664.15
372,6859,2023-12-01,Deposit,4677.83
373,10509,2025-06-27,Trade,35122.08
374,9615,2023-02-17,Deposit,7041.13
375,9049,2024-05-20,Withdrawal,35413.07
376,19981,2020-10-30,Deposit,8700.88
377,15287,2024-02-03,Trade,48592.34
378,3599,2021-02-25,Deposit,16523.03
379,974,2020-10-03,Trade,29188.55
380,19564,2022-05-19,Trade,13504.31
381,1725,2021-11-19,Trade,27034.48
382,2708,2021-11-13,Withdrawal,31404.99
383,15117,2024-10-29,Deposit,12210.99
384,7010,2025-05-07,Withdrawal,29246.86
385,12197,2022-05-05,Deposit,36893.22
386,1434,2023-04-26,Withdrawal,10857.66
387,12256,2023-02-03,Deposit,15873.42
388,7154,2025-01-24,Withdrawal,31427.49
389,11844,2021-11-08,Withdrawal,23872.81
390,19413,2021-08-19,Withdrawal,3579.15
391,9429,2023-01-16,Trade,312.5
392,9885,2023-11-26,Withdrawal,4785.28
393,9073,2025-02-28,Withdrawal,15964.07
394,6403,2023-11-07,Withdrawal,27785.34
395,1264,2025-01-21,Deposit,26019.57
396,3188,2022-04-27,Trade,16312.98
397,7439,2020-08-28,Deposit,273.66
398,6194,2022-05-06,Withdrawal,1781.06
399,13703,2022-12-28,Deposit,8748.84
400,19243,2023-03-25,Trade,8226.92
401,4877,2020-09-09,Trade,45479.46
402,7468,2020-10-05,Withdrawal,5515.81
403,3646,2022-04-01,Withdrawal,21960.04
404,15295,2022-11-23,Withdrawal,20335.45
405,9413,2022-08-11,Deposit,10083.97
406,17385,2023-01-25,Trade,25092.46
407,1212,2021-11-04,Withdrawal,45709.52
408,964,2023-03-17,Trade,31691.36
409,10080,2022-04-29,Withdrawal,18710.31
410,5131,2024-12-26,Deposit,37808.6
411,312,2023-08-15,Deposit,41767.5
412,10252,2023-12-31,Trade,43980.5
413,3453,2022-01-13,Deposit,11388.08
414,18649,2022-12-14,Deposit,41273.13
415,3392,2022-04-03,Deposit,35266.12
416,8732,2020-11-28,Trade,11797.44
417,3480,2022-06-21,Trade,48050.07
418,16601,2023-02-28,Deposit,6961.58
419,5467,2025-04-05,Deposit,37657.14
420,12150,2021-01-16,Deposit,5184.58
421,18077,2022-01-10,Trade,44488.76
422,9,2024-02-16,Trade,30213.26
423,18530,2021-02-01,Withdrawal,46295.29
424,12711,2025-06-19,Withdrawal,40092.95
425,19699,2020-11-20,Trade,42148.26
426,11206,2020-08-05,Withdrawal,41629.79
427,8859,2024-09-17,Deposit,1229.05
428,3202,2023-01-19,Withdrawal,33772.35
429,4225,2020-09-10,Trade,44382.69
430,18066,2024-10-29,Withdrawal,571.71
431,17557,2024-04-06,Trade,7815.34
432,2873,2025-04-14,Withdrawal,36943.73
433,8589,2021-05-03,Withdrawal,36161.9
434,15758,2024-08-25,Withdrawal,30010.55
435,10883,2021-04-17,Deposit,6950.7
436,19904,2023-03-15,Trade,13206.27
437,19860,2021-03-16,Trade,27302.08
438,14512,2021-01-31,Withdrawal,44517.43
439,18648,2023-01-09,Deposit,18923.35
440,1552,2020-08-14,Withdrawal,19759.52
441,9469,2021-04-30,Deposit,34652.44
442,10680,2024-08-23,Trade,27905.64
443,868,2022-10-15,Trade,44621.45
444,11413,2024-06-07,Deposit,46303.76
445,11406,2022-11-22,Deposit,37859.91
446,13681,2021-04-08,Deposit,37851.65
447,11013,2024-07-22,Withdrawal,5518.04
448,14204,2024-03-03,Withdrawal,26292.63
449,10887,2022-11-22,Deposit,1318.84
450,9974,2020-08-19,Withdrawal,19390.66
451,11299,2022-02-14,Trade,28938.2
452,2071,2022-02-02,Trade,47039.14
453,13228,2021-01-14,Deposit,42055.12
454,9846,2024-08-13,Trade,10465.4
455,6516,2023-12-07,Withdrawal,447.41
456,17578,2023-11-05,Trade,48975.7
457,2943,2025-05-20,Deposit,6362.58
458,15228,2020-10-18,Withdrawal,45288.71
459,3280,2024-08-27,Withdrawal,7139.09
460,17372,2021-04-19,Withdrawal,8684.27
461,809,2024-11-23,Withdrawal,21386.49
462,13553,2021-11-10,Deposit,16681.54
463,18862,2023-06-08,Trade,28561.46
464,6344,2023-07-05,Deposit,43903.43
465,2109,2022-11-21,Trade,23102.65
466,8924,2024-12-07,Withdrawal,18743.16
467,12918,2021-03-21,Deposit,48599.12
468,17396,2023-07-31,Deposit,18606.58
469,19631,2024-03-17,Deposit,7879.57
470,17233,2022-07-03,Withdrawal,31891.19
471,3008,2023-04-19,Trade,31092.86
472,13537,2025-06-17,Trade,4692.48
473,16595,2020-10-22,Trade,49998.93
474,3818,2023-07-15,Deposit,6517.45
475,1292,2023-11-09,Trade,24976.03
476,10208,2025-02-17,Deposit,8768.57
477,17454,2023-04-21,Trade,29107.53
478,13750,2025-04-17,Withdrawal,32232.0
479,587,2021-09-17,Deposit,36828.12
480,8164,2024-08-10,Deposit,30519.46
481,17433,2022-03-13,Withdrawal,22843.53
482,18220,2025-01-17,Deposit,15849.12
483,8883,2020-08-03,Deposit,9220.05
484,16790,2023-10-16,Trade,18861.33
485,4133,2021-05-12,Deposit,22708.94
486,9599,2021-10-14,Trade,48683.12
487,1583,2021-08-12,Deposit,17682.57
488,13330,2022-03-24,Deposit,23758.96
489,16660,2024-01-25,Deposit,4500.4
490,12715,2021-08-06,Trade,2664.77
491,19924,2022-11-04,Withdrawal,7452.58
492,14473,2022-02-28,Deposit,8606.74
493,16399,2022-01-20,Withdrawal,18637.23
494,16129,2023-07-30,Withdrawal,29483.89
495,15587,2023-01-12,Withdrawal,27801.43
496,8338,2022-08-05,Trade,42816.9
497,17114,2021-09-14,Withdrawal,8252.07
498,5906,2023-08-09,Trade,20854.85
499,19712,2021-10-20,Trade,6278.98
500,4827,2022-05-19,Withdrawal,39090.24
501,213,2021-11-06,Withdrawal,16951.03
502,14210,2020-11-12,Trade,7968.7
503,19708,2024-12-15,Withdrawal,23536.31
504,17148,2022-11-23,Deposit,40973.06
505,10073,2023-11-16,Deposit,40896.89
506,15107,2020-10-03,Trade,36443.78
507,13192,2022-01-12,Trade,46105.79
508,8624,2025-05-14,Deposit,26345.19
509,16056,2024-10-22,Trade,34103.46
510,5303,2020-09-25,Withdrawal,40212.34
511,17202,2021-03-07,Withdrawal,44398.53
512,5063,2022-08-05,Trade,14830.95
513,19848,2023-06-22,Withdrawal,14439.94
514,4054,2021-07-31,Trade,18185.18
515,2274,2023-06-14,Withdrawal,21810.43
516,13248,2021-10-09,Trade,19025.75
517,5758,2022-01-20,Trade,49642.51
518,4491,2024-12-12,Withdrawal,24287.87
519,11405,2021-01-06,Withdrawal,42728.83
520,2165,2023-10-26,Withdrawal,21550.12
521,11829,2022-01-02,Trade,29388.3
522,7517,2025-04-24,Deposit,13437.48
523,1857,2021-11-07,Trade,46236.6
524,11318,2023-02-02,Deposit,7923.3
525,17747,2022-12-11,Trade,43701.25
526,7767,2021-11-25,Deposit,43610.3
527,11896,2022-01-12,Trade,12440.07
528,10719,2024-09-28,Trade,25576.59
529,12471,2024-05-01,Withdrawal,13155.53
530,6840,2023-07-29,Deposit,33435.39
531,18408,2023-04-09,Deposit,21266.98
532,3568,2021-02-06,Trade,5195.07
533,9328,2023-09-10,Deposit,18190.56
534,2700,2023-04-04,Trade,42915.32
535,13965,2025-03-19,Trade,23319.25
536,10753,2024-10-07,Trade,20572.36
537,15541,2022-10-03,Deposit,41644.77
538,14814,2024-11-18,Trade,18229.72
539,4103,2022-08-19,Withdrawal,42780.09
540,1496,2021-11-24,Trade,22850.59
541,11490,2023-09-29,Trade,18824.17
542,8079,2023-08-19,Trade,49854.65
543,18470,2023-10-18,Deposit,13685.27
544,15418,2024-08-24,Withdrawal,33279.44
545,19029,2022-10-23,Withdrawal,40973.04
546,1395,2021-10-06,Deposit,14861.34
547,2102,2024-07-20,Trade,42263.31
548,1836,2022-07-02,Deposit,36960.51
549,14061,2025-05-22,Deposit,9690.45
550,16340,2022-11-04,Trade,35559.28
551,17018,2020-10-26,Withdrawal,11931.36
552,12336,2023-05-10,Deposit,41999.74
553,17243,2022-09-18,Withdrawal,4135.96
554,14039,2021-11-17,Withdrawal,27271.72
555,15520,2024-07-28,Trade,49330.82
556,6326,2022-02-05,Withdrawal,41084.88
557,8415,2024-09-24,Trade,19683.16
558,8129,2021-04-23,Trade,35521.34
559,2342,2022-10-24,Deposit,48997.6
560,15557,2022-05-13,Deposit,22127.93
561,15422,2025-01-08,Deposit,11454.57
562,6228,2022-08-12,Deposit,38279.41
563,2865,2025-01-23,Withdrawal,3320.53
564,16593,2023-09-03,Deposit,45542.56
565,1851,2020-12-21,Withdrawal,34663.05
566,12730,2022-04-05,Trade,8365.27
567,2650,2020-08-20,Withdrawal,30961.45
568,13749,2025-07-16,Withdrawal,41696.37
569,13085,2025-01-02,Withdrawal,1021.69
570,11238,2021-05-03,Withdrawal,39872.42
571,5534,2023-10-05,Deposit,17212.87
572,2006,2023-11-15,Trade,1889.35
573,304,2024-04-25,Deposit,3142.25
574,4983,2021-06-17,Withdrawal,46985.24
575,13088,2024-08-18,Deposit,3119.78
576,3864,2022-12-15,Deposit,30754.58
577,257,2022-06-03,Withdrawal,41641.9
578,18287,2024-12-24,Withdrawal,44146.74
579,19877,2022-12-02,Deposit,29126.96
580,10089,2023-03-22,Deposit,12305.54
581,13396,2020-09-04,Trade,31899.15
582,13556,2022-07-14,Deposit,35204.83
583,11442,2025-06-14,Withdrawal,15441.18
584,1172,2024-09-20,Trade,31268.77
585,1092,2023-03-11,Trade,23941.08
586,9620,2023-01-30,Deposit,32216.1
587,19590,2024-05-09,Deposit,6297.64
588,5457,2022-06-14,Deposit,47940.85
589,10707,2025-01-09,Deposit,1307.94
590,13548,2021-10-09,Withdrawal,47589.46
591,8140,2024-06-17,Withdrawal,28396.82
592,4982,2022-01-16,Withdrawal,21012.13
593,4007,2021-03-02,Trade,25487.95
594,6626,2022-07-11,Trade,41303.53
595,1312,2021-02-20,Deposit,39199.02
596,14880,2024-04-11,Withdrawal,15308.58
597,2794,2024-09-03,Trade,21099.34
598,13884,2022-05-16,Deposit,5860.31
599,10670,2023-01-20,Trade,28191.18
600,10024,2023-07-20,Trade,32762.24
601,8822,2021-02-26,Withdrawal,32299.64
602,13971,2023-11-25,Trade,37658.59
603,18762,2020-08-30,Trade,11178.98
604,3207,2020-08-14,Withdrawal,33828.14
605,12308,2024-08-25,Trade,49320.23
606,13091,2020-10-29,Trade,42315.58
607,2098,2021-08-02,Withdrawal,33452.99
608,11994,2022-12-13,Withdrawal,32936.09
609,2819,2022-04-13,Trade,14777.88
610,14918,2022-01-12,Deposit,611.62
611,536,2024-12-24,Deposit,24262.67
612,6214,2023-11-02,Trade,11371.15
613,10948,2021-08-27,Trade,47309.78
614,3382,2022-10-25,Trade,8527.15
615,13790,2023-02-05,Trade,3894.13
616,3922,2023-05-12,Trade,25796.85
617,11113,2021-04-03,Withdrawal,22376.07
618,2964,2024-01-04,Withdrawal,1441.38
619,13997,2023-06-28,Deposit,33035.8
620,12127,2021-08-28,Trade,14864.38
621,5552,2021-10-09,Withdrawal,34669.78
622,10647,2022-10-31,Deposit,43586.74
623,7767,2023-11-04,Withdrawal,696.4
624,9851,2024-04-11,Deposit,1448.88
625,12718,2023-10-26,Withdrawal,31186.01
626,19184,2022-10-27,Trade,45035.57
