RequestID,ClientID,RequestDate,RequestType,Status
114,1985,2024-09-05,Portfolio Review,Pending
115,1131,2024-08-26,Account Opening,Closed
116,6542,2024-08-27,Portfolio Review,Closed
117,8039,2023-10-23,Issue Resolution,Open
118,8019,2024-01-23,Account Opening,Open
119,8663,2024-05-06,Portfolio Review,Closed
120,8719,2025-04-04,Account Opening,Pending
121,5881,2024-11-01,Issue Resolution,Pending
122,6298,2024-01-19,Account Opening,Open
123,6210,2025-07-15,Portfolio Review,Pending
124,6235,2023-08-07,Issue Resolution,Closed
125,6485,2024-11-26,Issue Resolution,Pending
126,2925,2023-10-27,Issue Resolution,Pending
127,427,2025-04-26,Account Opening,Pending
128,6914,2023-11-06,Portfolio Review,Open
129,1119,2023-12-01,Portfolio Review,Pending
130,5764,2023-08-05,Account Opening,Closed
131,4085,2024-11-18,Issue Resolution,Closed
132,1900,2024-09-08,Portfolio Review,Closed
133,3672,2025-02-04,Account Opening,Closed
134,1836,2024-03-09,Portfolio Review,Pending
135,4871,2024-07-08,Issue Resolution,Open
136,5331,2025-07-19,Issue Resolution,Closed
137,8292,2025-04-23,Account Opening,Closed
138,1326,2025-04-16,Issue Resolution,Pending
139,6615,2024-03-31,Issue Resolution,Pending
140,9779,2024-05-26,Issue Resolution,Open
141,3270,2025-04-13,Account Opening,Open
142,2394,2025-01-01,Portfolio Review,Pending
143,8,2023-11-09,Portfolio Review,Closed
144,6375,2024-06-03,Issue Resolution,Open
145,4865,2024-04-02,Issue Resolution,Open
146,5224,2025-05-11,Issue Resolution,Pending
147,1257,2025-07-05,Issue Resolution,Pending
148,6457,2024-11-12,Issue Resolution,Closed
149,6679,2023-12-06,Portfolio Review,Pending
150,4925,2023-12-10,Account Opening,Pending
151,7664,2025-07-16,Portfolio Review,Closed
152,2093,2025-02-02,Portfolio Review,Open
153,6952,2025-05-02,Portfolio Review,Pending
154,8842,2023-10-24,Issue Resolution,Pending
155,693,2024-02-16,Account Opening,Open
156,1881,2025-03-26,Issue Resolution,Open
157,4883,2025-04-28,Account Opening,Pending
158,5112,2024-11-25,Issue Resolution,Open
159,7949,2024-04-15,Issue Resolution,Open
160,6635,2025-01-22,Issue Resolution,Pending
161,9241,2023-12-04,Issue Resolution,Closed
162,4799,2025-04-11,Account Opening,Open
163,5971,2024-03-11,Portfolio Review,Closed
164,8375,2023-12-27,Portfolio Review,Open
165,2505,2025-04-22,Portfolio Review,Open
166,7345,2023-09-09,Account Opening,Closed
167,1789,2025-01-25,Portfolio Review,Open
168,4663,2024-08-13,Portfolio Review,Pending
169,3383,2024-07-12,Account Opening,Closed
170,255,2024-09-08,Account Opening,Closed
171,4960,2023-08-30,Issue Resolution,Pending
172,5581,2024-07-03,Issue Resolution,Pending
173,8211,2024-04-03,Portfolio Review,Pending
174,794,2025-05-19,Issue Resolution,Open
175,5992,2025-06-13,Account Opening,Closed
176,8968,2024-06-09,Issue Resolution,Pending
177,3273,2023-12-01,Issue Resolution,Closed
178,7418,2024-01-23,Account Opening,Open
179,2692,2024-06-12,Portfolio Review,Closed
180,6836,2024-08-08,Portfolio Review,Pending
181,9258,2023-11-14,Portfolio Review,Closed
182,6045,2024-06-13,Account Opening,Pending
183,724,2025-03-19,Account Opening,Closed
184,6663,2023-11-19,Account Opening,Closed
185,9018,2024-02-20,Portfolio Review,Closed
186,9132,2024-12-02,Portfolio Review,Closed
187,4127,2024-05-06,Account Opening,Open
188,1876,2025-05-16,Account Opening,Closed
189,148,2024-12-11,Issue Resolution,Open
190,7577,2024-11-09,Account Opening,Open
191,4785,2025-05-10,Portfolio Review,Pending
192,2438,2024-12-28,Account Opening,Closed
193,8276,2023-10-21,Issue Resolution,Open
194,7266,2023-08-15,Account Opening,Closed
195,8867,2024-08-11,Portfolio Review,Open
196,9636,2025-01-09,Portfolio Review,Closed
197,9383,2023-12-10,Account Opening,Open
198,7848,2024-12-19,Portfolio Review,Open
199,7985,2024-07-09,Account Opening,Closed
200,3947,2024-02-22,Portfolio Review,Pending
201,3300,2023-11-01,Issue Resolution,Pending
202,82,2023-10-26,Account Opening,Open
203,1273,2025-02-06,Issue Resolution,Closed
204,171,2024-07-04,Portfolio Review,Closed
205,1693,2024-03-09,Issue Resolution,Closed
206,582,2024-01-07,Account Opening,Open
207,4034,2025-03-04,Issue Resolution,Pending
208,3424,2023-10-19,Issue Resolution,Pending
209,8476,2025-01-29,Account Opening,Closed
210,1305,2024-06-18,Issue Resolution,Open
211,9410,2024-08-31,Portfolio Review,Closed
212,9804,2025-01-15,Account Opening,Open
213,4743,2025-01-14,Account Opening,Open
214,6946,2024-03-22,Portfolio Review,Closed
215,8944,2024-11-22,Portfolio Review,Pending
216,3578,2024-12-04,Portfolio Review,Closed
217,7504,2024-03-21,Portfolio Review,Closed
218,6455,2023-08-16,Portfolio Review,Closed
219,7391,2024-10-23,Account Opening,Open
220,6468,2024-06-18,Portfolio Review,Closed
221,8416,2025-01-21,Issue Resolution,Closed
222,7061,2025-06-09,Issue Resolution,Open
223,198,2025-03-04,Portfolio Review,Closed
224,5804,2023-10-12,Issue Resolution,Pending
225,4378,2024-05-22,Account Opening,Open
226,6155,2024-05-20,Issue Resolution,Open
227,8723,2023-11-03,Issue Resolution,Open
228,7189,2025-05-08,Portfolio Review,Pending
229,7826,2025-01-20,Portfolio Review,Open
230,5305,2025-01-24,Account Opening,Closed
231,2873,2025-05-09,Portfolio Review,Closed
232,2868,2025-02-10,Portfolio Review,Pending
233,1663,2024-06-30,Account Opening,Open
234,222,2024-05-09,Issue Resolution,Open
235,130,2024-01-15,Issue Resolution,Pending
236,8538,2024-09-06,Account Opening,Open
237,4204,2023-08-06,Account Opening,Open
238,5913,2025-05-15,Issue Resolution,Pending
239,9036,2024-04-18,Account Opening,Pending
240,8570,2025-06-08,Account Opening,Pending
241,3737,2023-10-18,Account Opening,Closed
242,3679,2025-03-23,Account Opening,Pending
243,2270,2025-02-18,Issue Resolution,Open
244,7154,2024-05-02,Account Opening,Pending
245,6953,2025-07-01,Issue Resolution,Open
246,9170,2024-09-11,Account Opening,Closed
247,6130,2024-05-01,Account Opening,Pending
248,1984,2025-05-23,Issue Resolution,Closed
249,2764,2024-02-16,Account Opening,Closed
250,9228,2024-03-13,Issue Resolution,Closed
251,1675,2024-01-21,Account Opening,Closed
252,7309,2024-08-08,Account Opening,Closed
253,3732,2024-01-31,Portfolio Review,Closed
254,8268,2025-05-22,Issue Resolution,Closed
255,7941,2025-03-16,Portfolio Review,Pending
256,5873,2025-07-03,Issue Resolution,Open
257,823,2024-08-31,Portfolio Review,Open
258,9155,2023-08-12,Portfolio Review,Open
259,5380,2024-04-25,Account Opening,Open
260,7383,2025-05-22,Issue Resolution,Closed
261,9358,2024-08-30,Account Opening,Open
262,3498,2023-12-16,Account Opening,Pending
263,246,2023-12-18,Account Opening,Pending
264,9007,2023-09-02,Portfolio Review,Pending
265,9424,2025-07-08,Issue Resolution,Closed
266,1699,2025-06-01,Portfolio Review,Pending
267,5711,2024-05-10,Portfolio Review,Closed
268,2980,2024-08-15,Portfolio Review,Pending
269,7039,2025-01-31,Issue Resolution,Open
270,9843,2023-08-09,Portfolio Review,Open
271,6064,2024-01-08,Account Opening,Closed
272,1352,2024-04-02,Portfolio Review,Pending
273,9210,2024-10-30,Portfolio Review,Closed
274,5360,2023-09-28,Account Opening,Open
275,9833,2025-03-07,Account Opening,Pending
276,6931,2024-10-02,Account Opening,Open
277,7830,2024-07-06,Portfolio Review,Pending
278,5253,2023-09-05,Issue Resolution,Closed
279,1101,2024-12-28,Portfolio Review,Closed
280,8377,2025-06-10,Portfolio Review,Closed
281,5662,2024-07-27,Account Opening,Closed
282,910,2023-10-19,Portfolio Review,Pending
283,4688,2024-02-28,Portfolio Review,Closed
284,9303,2025-04-15,Portfolio Review,Closed
285,6096,2024-03-20,Portfolio Review,Open
286,9661,2024-02-06,Portfolio Review,Pending
287,5029,2025-06-14,Account Opening,Closed
288,7598,2024-08-07,Portfolio Review,Open
289,8616,2025-03-29,Issue Resolution,Closed
290,7307,2023-09-03,Account Opening,Closed
291,5335,2024-03-28,Account Opening,Open
292,8993,2023-12-01,Portfolio Review,Open
293,1228,2023-11-21,Portfolio Review,Pending
294,1109,2024-12-25,Issue Resolution,Closed
295,5064,2025-06-21,Portfolio Review,Closed
296,2493,2024-07-22,Portfolio Review,Open
297,3694,2023-11-01,Issue Resolution,Closed
298,90,2024-06-08,Account Opening,Open
299,9914,2024-04-06,Issue Resolution,Closed
300,5841,2023-11-02,Issue Resolution,Closed
301,9754,2024-04-06,Issue Resolution,Closed
302,4349,2024-04-18,Portfolio Review,Closed
303,4519,2025-06-09,Portfolio Review,Closed
304,41,2025-05-20,Portfolio Review,Open
305,1355,2025-06-21,Issue Resolution,Pending
306,2576,2024-06-08,Portfolio Review,Open
307,5200,2025-04-25,Account Opening,Closed
308,9894,2025-03-15,Portfolio Review,Open
309,7690,2024-03-09,Issue Resolution,Closed
310,2324,2024-08-08,Account Opening,Open
311,959,2024-08-21,Issue Resolution,Pending
312,2736,2024-11-08,Account Opening,Closed
313,2726,2025-04-09,Account Opening,Pending
314,4481,2024-08-25,Account Opening,Open
315,2318,2024-09-29,Account Opening,Open
316,1364,2025-07-18,Account Opening,Open
317,6699,2025-01-10,Issue Resolution,Pending
318,2514,2024-07-13,Account Opening,Closed
319,6385,2023-11-30,Portfolio Review,Pending
320,901,2025-06-16,Issue Resolution,Closed
321,1578,2024-01-16,Issue Resolution,Open
322,8810,2023-10-22,Account Opening,Closed
323,3136,2025-07-25,Account Opening,Pending
324,9823,2025-04-17,Account Opening,Open
325,8748,2024-03-05,Account Opening,Pending
326,9036,2025-02-13,Account Opening,Open
327,3870,2023-10-24,Issue Resolution,Open
328,4109,2024-03-31,Account Opening,Closed
329,3057,2023-11-12,Portfolio Review,Pending
330,6894,2024-11-18,Issue Resolution,Pending
331,668,2023-07-31,Portfolio Review,Open
332,3482,2024-12-12,Account Opening,Open
333,1927,2024-06-13,Portfolio Review,Open
334,8298,2025-01-19,Portfolio Review,Closed
335,9009,2023-12-31,Issue Resolution,Open
336,5745,2024-12-07,Account Opening,Open
337,8682,2025-06-30,Account Opening,Open
338,1584,2025-03-10,Issue Resolution,Open
339,7023,2024-08-15,Account Opening,Open
340,8662,2024-05-24,Portfolio Review,Closed
341,6563,2023-12-19,Account Opening,Closed
342,1815,2024-01-22,Account Opening,Pending
343,5970,2024-01-13,Account Opening,Closed
344,4792,2024-11-27,Portfolio Review,Pending
345,9021,2024-11-29,Issue Resolution,Open
346,6484,2024-07-27,Issue Resolution,Open
347,8417,2024-11-27,Account Opening,Closed
348,9703,2024-09-12,Issue Resolution,Open
349,367,2024-10-14,Account Opening,Pending
350,9392,2025-04-14,Portfolio Review,Open
351,1579,2025-02-04,Account Opening,Closed
352,7801,2024-08-15,Issue Resolution,Pending
353,8791,2024-12-10,Account Opening,Open
354,6175,2024-07-05,Portfolio Review,Open
355,7917,2024-11-12,Account Opening,Closed
356,8303,2025-04-20,Account Opening,Pending
357,7940,2024-01-10,Account Opening,Open
358,965,2024-02-12,Portfolio Review,Closed
359,5147,2025-06-08,Account Opening,Pending
360,6772,2025-07-16,Issue Resolution,Pending
361,4257,2025-07-25,Portfolio Review,Closed
362,4361,2025-03-01,Account Opening,Pending
363,4308,2025-06-28,Portfolio Review,Pending
364,4181,2025-06-16,Account Opening,Open
365,42,2024-12-24,Issue Resolution,Pending
366,8399,2023-09-03,Portfolio Review,Pending
367,5528,2024-08-17,Portfolio Review,Closed
368,888,2025-02-24,Issue Resolution,Open
369,9903,2023-10-24,Portfolio Review,Pending
370,8007,2024-11-12,Issue Resolution,Pending
371,4327,2024-04-04,Issue Resolution,Pending
372,7030,2025-02-11,Issue Resolution,Pending
373,551,2024-06-20,Account Opening,Open
374,589,2025-02-22,Portfolio Review,Pending
375,4270,2024-12-07,Account Opening,Pending
376,6675,2023-08-26,Portfolio Review,Open
377,4227,2023-09-23,Portfolio Review,Pending
378,8810,2023-10-11,Portfolio Review,Pending
379,8877,2024-05-05,Issue Resolution,Closed
380,3642,2023-11-29,Portfolio Review,Closed
381,3641,2023-10-08,Portfolio Review,Open
382,1332,2024-04-22,Issue Resolution,Open
383,403,2023-11-14,Portfolio Review,Pending
384,2178,2025-03-06,Account Opening,Open
385,5711,2024-04-09,Portfolio Review,Closed
386,9694,2023-07-31,Account Opening,Pending
387,7561,2023-10-11,Account Opening,Open
388,9892,2025-07-24,Issue Resolution,Pending
389,6247,2024-03-10,Portfolio Review,Pending
390,13,2023-12-04,Account Opening,Open
391,3286,2024-05-12,Portfolio Review,Open
392,7558,2024-03-23,Issue Resolution,Pending
393,7824,2024-09-20,Portfolio Review,Closed
394,1868,2025-03-06,Account Opening,Open
395,3637,2024-02-10,Account Opening,Pending
396,7163,2023-12-03,Account Opening,Closed
397,4770,2024-11-01,Account Opening,Open
398,6138,2024-07-14,Account Opening,Pending
399,298,2025-01-05,Account Opening,Pending
400,9952,2024-11-07,Issue Resolution,Closed
401,1922,2025-07-23,Issue Resolution,Pending
402,81,2024-03-19,Issue Resolution,Open
403,4242,2025-01-30,Portfolio Review,Pending
404,8063,2023-09-23,Account Opening,Open
405,6787,2025-03-31,Portfolio Review,Closed
406,3860,2024-07-31,Issue Resolution,Closed
407,7030,2024-01-16,Portfolio Review,Pending
408,9420,2024-10-21,Portfolio Review,Open
409,703,2024-05-29,Account Opening,Pending
410,3237,2025-06-01,Issue Resolution,Pending
411,3384,2024-03-24,Account Opening,Open
412,8904,2024-07-15,Issue Resolution,Closed
413,6988,2024-10-02,Portfolio Review,Pending
414,2354,2023-09-09,Account Opening,Closed
415,2812,2024-08-10,Portfolio Review,Closed
416,2255,2024-02-13,Portfolio Review,Pending
417,168,2024-01-10,Portfolio Review,Open
418,9022,2023-09-03,Account Opening,Open
419,4529,2025-01-03,Issue Resolution,Open
420,9311,2024-08-29,Portfolio Review,Open
421,3190,2024-07-13,Issue Resolution,Closed
422,4274,2024-07-01,Portfolio Review,Open
423,2428,2024-11-21,Account Opening,Closed
424,5376,2025-02-25,Issue Resolution,Closed
425,3499,2024-03-14,Issue Resolution,Pending
426,9576,2024-04-14,Account Opening,Open
427,2390,2024-10-24,Issue Resolution,Open
428,4492,2025-03-12,Portfolio Review,Closed
429,6943,2023-10-08,Issue Resolution,Open
430,9402,2025-03-02,Issue Resolution,Open
431,795,2024-12-23,Account Opening,Closed
432,8833,2023-11-09,Account Opening,Open
433,2465,2024-11-05,Issue Resolution,Open
434,1475,2024-07-21,Portfolio Review,Pending
435,960,2025-02-28,Issue Resolution,Pending
436,9472,2025-06-23,Account Opening,Pending
437,7890,2024-04-02,Portfolio Review,Pending
438,7752,2024-06-16,Issue Resolution,Pending
439,6332,2025-01-04,Portfolio Review,Closed
440,7382,2025-05-03,Account Opening,Open
441,9401,2025-05-18,Issue Resolution,Open
442,6789,2024-07-02,Portfolio Review,Pending
443,8321,2024-11-11,Portfolio Review,Open
444,7969,2025-02-26,Issue Resolution,Pending
445,9326,2023-07-31,Issue Resolution,Closed
446,4034,2024-01-22,Portfolio Review,Closed
447,9883,2025-01-11,Issue Resolution,Open
448,3530,2025-04-01,Portfolio Review,Closed
449,8695,2024-11-27,Portfolio Review,Open
450,5906,2024-04-29,Issue Resolution,Open
451,9125,2025-03-31,Portfolio Review,Pending
452,9888,2025-02-15,Issue Resolution,Open
453,9271,2024-01-28,Issue Resolution,Closed
454,4088,2024-11-07,Issue Resolution,Open
455,65,2024-04-05,Portfolio Review,Open
456,8691,2025-03-14,Portfolio Review,Open
457,4086,2023-10-16,Issue Resolution,Closed
458,979,2025-03-30,Portfolio Review,Closed
459,4262,2025-06-13,Portfolio Review,Closed
460,6804,2023-10-12,Issue Resolution,Closed
461,3494,2023-11-30,Issue Resolution,Closed
462,3735,2024-11-23,Portfolio Review,Open
463,8028,2025-02-02,Issue Resolution,Closed
464,4392,2024-07-08,Issue Resolution,Pending
465,6929,2025-06-17,Portfolio Review,Open
466,1131,2024-03-13,Issue Resolution,Open
467,9423,2024-06-12,Issue Resolution,Pending
468,433,2025-03-31,Account Opening,Closed
469,7784,2025-06-13,Issue Resolution,Open
470,8414,2023-09-21,Account Opening,Open
471,8561,2024-05-13,Portfolio Review,Closed
472,7414,2025-05-16,Portfolio Review,Open
473,9381,2024-01-04,Account Opening,Closed
474,8022,2024-12-26,Issue Resolution,Closed
475,1560,2024-11-09,Issue Resolution,Closed
476,3983,2025-03-29,Portfolio Review,Pending
477,1574,2024-05-29,Account Opening,Closed
478,4683,2023-12-04,Account Opening,Open
479,2744,2024-09-18,Account Opening,Open
480,3178,2023-08-03,Issue Resolution,Closed
481,8375,2023-11-16,Issue Resolution,Pending
482,3771,2024-08-02,Issue Resolution,Open
483,3795,2025-03-16,Account Opening,Closed
484,6894,2025-03-03,Issue Resolution,Open
485,7779,2024-11-29,Account Opening,Pending
486,155,2024-02-26,Issue Resolution,Closed
487,3948,2024-11-18,Account Opening,Closed
488,1771,2024-06-08,Account Opening,Open
489,1306,2025-06-03,Account Opening,Closed
490,2125,2025-05-25,Portfolio Review,Closed
491,2706,2025-07-11,Issue Resolution,Closed
492,4379,2024-04-16,Issue Resolution,Closed
493,9992,2024-01-09,Portfolio Review,Pending
494,6225,2023-08-02,Issue Resolution,Pending
495,5348,2024-02-26,Portfolio Review,Closed
496,6501,2024-10-02,Account Opening,Open
497,4802,2025-07-11,Portfolio Review,Open
498,4583,2024-10-12,Portfolio Review,Pending
499,1844,2024-02-13,Account Opening,Pending
500,8031,2023-08-30,Issue Resolution,Pending
501,9834,2025-02-19,Issue Resolution,Open
502,7037,2025-07-13,Portfolio Review,Open
503,6793,2025-05-26,Issue Resolution,Closed
504,4355,2023-10-21,Portfolio Review,Closed
505,352,2024-11-12,Issue Resolution,Open
506,3865,2023-10-13,Issue Resolution,Closed
507,3551,2023-11-14,Account Opening,Open
508,7641,2024-01-27,Account Opening,Open
509,6295,2023-11-17,Issue Resolution,Closed
510,6420,2025-07-20,Issue Resolution,Pending
511,1113,2025-06-18,Account Opening,Open
512,1024,2023-09-03,Portfolio Review,Closed
513,506,2024-12-04,Portfolio Review,Pending
514,5702,2024-12-16,Portfolio Review,Pending
515,3157,2025-03-07,Account Opening,Open
516,7859,2024-05-27,Account Opening,Pending
517,6466,2023-08-25,Account Opening,Pending
518,9904,2024-06-03,Portfolio Review,Closed
519,5614,2025-02-26,Portfolio Review,Open
520,9383,2025-06-05,Account Opening,Pending
521,4377,2024-02-24,Issue Resolution,Open
522,6034,2024-11-26,Portfolio Review,Pending
523,6294,2025-07-22,Issue Resolution,Open
524,7344,2024-01-05,Issue Resolution,Open
525,2318,2024-02-06,Portfolio Review,Open
526,6395,2024-08-18,Account Opening,Closed
527,8500,2024-02-04,Account Opening,Open
528,9502,2024-09-05,Account Opening,Closed
529,2830,2024-08-22,Account Opening,Closed
530,8702,2025-01-22,Portfolio Review,Pending
531,4667,2024-06-22,Account Opening,Closed
532,7813,2025-04-04,Portfolio Review,Open
533,7511,2024-08-16,Issue Resolution,Closed
534,3575,2023-09-12,Issue Resolution,Closed
535,168,2025-03-28,Account Opening,Open
536,4666,2024-01-21,Account Opening,Open
537,4733,2024-11-03,Portfolio Review,Open
538,2479,2024-05-28,Portfolio Review,Closed
539,6126,2024-10-04,Account Opening,Pending
540,9237,2024-11-02,Portfolio Review,Open
541,2351,2024-12-10,Portfolio Review,Pending
542,9729,2025-04-13,Issue Resolution,Pending
543,3132,2024-11-03,Issue Resolution,Open
544,7982,2023-09-10,Issue Resolution,Closed
545,7057,2024-03-18,Portfolio Review,Open
546,6746,2023-12-06,Portfolio Review,Open
547,9484,2024-12-12,Account Opening,Open
548,7716,2024-01-06,Account Opening,Open
549,9383,2023-10-18,Issue Resolution,Open
550,8150,2024-11-28,Account Opening,Pending
551,7728,2025-07-03,Issue Resolution,Open
552,6186,2025-05-28,Portfolio Review,Closed
553,3144,2024-10-30,Portfolio Review,Pending
554,7353,2024-12-18,Issue Resolution,Closed
555,918,2023-11-12,Issue Resolution,Open
556,8815,2024-03-12,Issue Resolution,Closed
557,9313,2025-03-31,Portfolio Review,Open
558,2779,2024-01-28,Account Opening,Open
559,9278,2024-12-26,Account Opening,Closed
560,1639,2025-03-21,Portfolio Review,Open
561,5229,2024-06-17,Portfolio Review,Pending
562,8116,2024-07-19,Account Opening,Closed
563,9817,2024-02-18,Account Opening,Closed
564,8486,2025-03-15,Issue Resolution,Open
565,4192,2024-03-03,Issue Resolution,Closed
566,9958,2023-08-09,Portfolio Review,Closed
567,1992,2025-04-24,Account Opening,Closed
568,3888,2024-11-03,Portfolio Review,Pending
569,9484,2025-01-27,Issue Resolution,Pending
570,9024,2024-02-11,Account Opening,Open
571,7626,2023-08-22,Issue Resolution,Open
572,328,2023-10-20,Account Opening,Pending
573,6687,2024-01-13,Issue Resolution,Pending
574,4830,2024-04-07,Portfolio Review,Closed
575,8589,2025-01-01,Portfolio Review,Pending
576,780,2024-11-21,Issue Resolution,Closed
577,3969,2025-06-15,Issue Resolution,Closed
578,1862,2024-04-15,Portfolio Review,Closed
579,8055,2024-03-27,Portfolio Review,Pending
580,5866,2024-11-14,Issue Resolution,Closed
581,4539,2024-03-18,Issue Resolution,Closed
582,9997,2024-04-07,Issue Resolution,Closed
583,3376,2024-03-24,Issue Resolution,Open
584,8381,2024-07-06,Account Opening,Open
585,6979,2024-04-15,Issue Resolution,Open
586,839,2024-08-26,Account Opening,Closed
587,670,2023-09-10,Portfolio Review,Open
588,6649,2024-01-07,Portfolio Review,Closed
589,6654,2025-07-16,Portfolio Review,Pending
590,7572,2024-05-05,Account Opening,Closed
591,9335,2023-09-25,Issue Resolution,Pending
592,4687,2024-07-01,Portfolio Review,Open
593,3588,2024-10-03,Issue Resolution,Pending
594,8310,2023-11-30,Account Opening,Pending
595,1109,2023-10-09,Issue Resolution,Pending
596,5179,2023-08-09,Portfolio Review,Open
597,8286,2025-05-15,Issue Resolution,Open
598,7837,2024-11-20,Portfolio Review,Pending
599,3886,2024-05-24,Account Opening,Pending
600,3909,2024-08-08,Portfolio Review,Pending
601,1197,2024-03-11,Portfolio Review,Closed
602,5686,2025-04-04,Issue Resolution,Closed
603,8936,2024-06-26,Portfolio Review,Closed
604,2549,2024-12-03,Account Opening,Closed
605,8704,2024-03-21,Issue Resolution,Pending
606,5171,2024-10-06,Account Opening,Closed
607,4920,2025-01-20,Issue Resolution,Closed
608,3955,2024-02-12,Issue Resolution,Closed
609,6859,2024-02-10,Issue Resolution,Pending
